% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	2.9699	0
0.042	1	1	2	3.27897	0
0.081	1	2	1	1.72729	0
0.082	1	1	2	3.55109	0
0.121	1	2	1	5.2696	0
0.122	1	1	2	4.32361	0
0.161	1	2	1	2.79091	0
0.162	1	1	2	3.57572	0
0.201	1	2	1	5.51329	0
0.202	1	1	2	2.41417	0
0.241	1	2	1	6.91887	0
0.242	1	1	2	4.38679	0
0.281	1	2	1	5.43722	0
0.282	1	1	2	7.41408	0
0.321	1	2	1	3.9004	0
0.322	1	1	2	2.97828	0
0.361	1	2	1	5.52069	0
0.362	1	1	2	5.70888	0
0.401	1	2	1	3.13474	0
0.402	1	1	2	9.03847	0
0.441	1	2	1	2.16653	0
0.442	1	1	2	3.87684	0
0.481	1	2	1	4.63632	0
0.482	1	1	2	1.81317	0
0.521	1	2	1	8.35003	0
0.522	1	1	2	2.91923	0
0.561	1	2	1	3.43267	0
0.562	1	1	2	2.98972	0
0.601	1	2	1	1.68646	0
0.602	1	1	2	4.01673	0
0.641	1	2	1	4.98567	0
0.642	1	1	2	7.62082	0
0.681	1	2	1	5.43415	0
0.682	1	1	2	2.13811	0
0.721	1	2	1	7.66803	0
0.722	1	1	2	3.37456	0
0.761	1	2	1	2.00846	0
0.762	1	1	2	4.01607	0
0.801	1	2	1	4.28058	0
0.802	1	1	2	3.98586	0
0.841	1	2	1	5.03686	0
0.842	1	1	2	2.18349	0
0.881	1	2	1	11.3315	0
0.882	1	1	2	2.72068	0
0.921	1	2	1	5.20358	0
0.922	1	1	2	2.53934	0
0.961	1	2	1	2.63342	0
0.962	1	1	2	2.4027	0
1.001	1	2	1	2.82189	0
1.002	1	1	2	3.18204	0
1.041	1	2	1	1.89824	0
1.042	1	1	2	2.83359	0
1.081	1	2	1	7.9133	0
1.082	1	1	2	3.70685	0
1.121	1	2	1	3.32893	0
1.122	1	1	2	3.12429	0
1.161	1	2	1	2.86849	0
1.162	1	1	2	5.13112	0
1.201	1	2	1	2.8955	0
1.202	1	1	2	8.77819	0
1.241	1	2	1	3.67262	0
1.242	1	1	2	2.91014	0
1.281	1	2	1	2.77051	0
1.282	1	1	2	6.31418	0
1.321	1	2	1	7.36577	0
1.322	1	1	2	5.04589	0
1.361	1	2	1	11.233	0
1.362	1	1	2	6.82759	0
1.401	1	2	1	3.77107	0
1.402	1	1	2	2.52292	0
1.441	1	2	1	4.43049	0
1.442	1	1	2	1.61794	0
1.481	1	2	1	6.11478	0
1.482	1	1	2	2.86632	0
1.521	1	2	1	2.28438	0
1.522	1	1	2	3.26881	0
1.561	1	2	1	2.5968	0
1.562	1	1	2	4.21237	0
1.601	1	2	1	3.07033	0
1.602	1	1	2	2.50003	0
1.641	1	2	1	4.73664	0
1.642	1	1	2	4.8907	0
1.681	1	2	1	4.25628	0
1.682	1	1	2	7.77166	0
1.721	1	2	1	3.28823	0
1.722	1	1	2	3.68425	0
1.761	1	2	1	3.62364	0
1.762	1	1	2	5.87582	0
1.801	1	2	1	3.17316	0
1.802	1	1	2	7.27127	0
1.841	1	2	1	4.42822	0
1.842	1	1	2	3.04913	0
1.881	1	2	1	2.7951	0
1.882	1	1	2	1.75779	0
1.921	1	2	1	3.65464	0
1.922	1	1	2	5.31914	0
1.961	1	2	1	6.20965	0
1.962	1	1	2	4.34672	0
2.001	1	2	1	11.273	0
2.002	1	1	2	6.24345	0
2.041	1	2	1	6.65721	0
2.042	1	1	2	3.138	0
2.081	1	2	1	5.22769	0
2.082	1	1	2	1.64351	0
2.121	1	2	1	4.65628	0
2.122	1	1	2	3.48102	0
2.161	1	2	1	3.61004	0
2.162	1	1	2	4.96844	0
2.201	1	2	1	8.14223	0
2.202	1	1	2	3.29177	0
2.241	1	2	1	5.42383	0
2.242	1	1	2	4.73649	0
2.281	1	2	1	5.22215	0
2.282	1	1	2	5.1047	0
2.321	1	2	1	7.92914	0
2.322	1	1	2	2.12769	0
2.361	1	2	1	1.67592	0
2.362	1	1	2	4.51862	0
2.401	1	2	1	3.82091	0
2.402	1	1	2	1.2582	0
2.441	1	2	1	3.68939	0
2.442	1	1	2	3.36465	0
2.481	1	2	1	3.69586	0
2.482	1	1	2	3.56044	0
2.521	1	2	1	6.15972	0
2.522	1	1	2	5.99949	0
2.561	1	2	1	5.90995	0
2.562	1	1	2	4.38655	0
2.601	1	2	1	3.59377	0
2.602	1	1	2	7.39223	0
2.641	1	2	1	2.61315	0
2.642	1	1	2	2.00955	0
2.681	1	2	1	8.88754	0
2.682	1	1	2	6.01681	0
2.721	1	2	1	4.38042	0
2.722	1	1	2	4.39216	0
2.761	1	2	1	4.53769	0
2.762	1	1	2	2.40691	0
2.801	1	2	1	1.41631	0
2.802	1	1	2	3.63039	0
2.841	1	2	1	10.0418	0
2.842	1	1	2	2.70341	0
2.881	1	2	1	11.4616	0
2.882	1	1	2	9.22047	0
2.921	1	2	1	2.54451	0
2.922	1	1	2	6.03522	0
2.961	1	2	1	5.7724	0
2.962	1	1	2	7.56016	0
3.001	1	2	1	2.30584	0
3.002	1	1	2	1.77534	0
3.041	1	2	1	2.12461	0
3.042	1	1	2	2.948	0
3.081	1	2	1	2.54921	0
3.082	1	1	2	6.69344	0
3.121	1	2	1	3.12968	0
3.122	1	1	2	2.33014	0
3.161	1	2	1	5.83285	0
3.162	1	1	2	1.91781	0
3.201	1	2	1	5.5761	0
3.202	1	1	2	3.04236	0
3.241	1	2	1	2.28176	0
3.242	1	1	2	3.73956	0
3.281	1	2	1	3.46733	0
3.282	1	1	2	3.03019	0
3.321	1	2	1	3.41857	0
3.322	1	1	2	1.13583	0
3.361	1	2	1	4.35872	0
3.362	1	1	2	4.92258	0
3.401	1	2	1	3.65212	0
3.402	1	1	2	3.14642	0
3.441	1	2	1	1.24251	0
3.442	1	1	2	2.28584	0
3.481	1	2	1	2.70487	0
3.482	1	1	2	2.31877	0
3.521	1	2	1	6.37321	0
3.522	1	1	2	1.85694	0
3.561	1	2	1	2.40611	0
3.562	1	1	2	5.82388	0
3.601	1	2	1	4.88206	0
3.602	1	1	2	4.25669	0
3.641	1	2	1	7.34635	0
3.642	1	1	2	2.5101	0
3.681	1	2	1	4.51975	0
3.682	1	1	2	3.92214	0
3.721	1	2	1	4.81077	0
3.722	1	1	2	2.93098	0
3.761	1	2	1	1.99292	0
3.762	1	1	2	8.86458	0
3.801	1	2	1	9.55346	0
3.802	1	1	2	6.16279	0
3.841	1	2	1	1.49626	0
3.842	1	1	2	7.63791	0
3.881	1	2	1	3.66627	0
3.882	1	1	2	2.19831	0
3.921	1	2	1	2.86198	0
3.922	1	1	2	3.77152	0
3.961	1	2	1	1.74824	0
3.962	1	1	2	2.81817	0
4.001	1	2	1	3.10665	0
4.002	1	1	2	3.52258	0
4.041	1	2	1	3.07004	0
4.042	1	1	2	3.18786	0
4.081	1	2	1	5.83592	0
4.082	1	1	2	1.76395	0
4.121	1	2	1	3.77134	0
4.122	1	1	2	2.65809	0
4.161	1	2	1	3.26917	0
4.162	1	1	2	8.02494	0
4.201	1	2	1	8.7758	0
4.202	1	1	2	3.90959	0
4.241	1	2	1	5.40595	0
4.242	1	1	2	3.54448	0
4.281	1	2	1	1.77479	0
4.282	1	1	2	4.01694	0
4.321	1	2	1	3.99505	0
4.322	1	1	2	6.7224	0
4.361	1	2	1	4.3325	0
4.362	1	1	2	2.70376	0
4.401	1	2	1	11.0633	0
