% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1082	1	1	2	0	2	277	0	1	1	0
1128	1	1	2	0	2	277	0	1	1	0
1208	1	1	2	0	6	645	0	1	1	0
1257	1	1	2	0	4	453	0	1	1	0
1306	1	1	2	0	6	645	0	1	1	0
1355	1	1	2	0	8	871	0	1	1	0
1404	1	2	1	0	2	277	0	1	1	0
1408	1	1	2	0	0	349	0	1	1	0
1457	1	2	1	0	4	453	0	1	1	0
1458	1	2	1	0	4	453	0	1	1	0
1476	1	2	1	0	4	453	0	1	1	0
1488	1	2	1	0	8	871	0	1	1	0
1506	1	2	1	0	8	871	0	1	1	0
1507	1	2	1	0	8	871	0	1	1	0
1510	1	2	1	0	8	871	0	1	1	0
1555	1	2	1	0	0	173	0	1	1	0
1556	1	2	1	0	0	173	0	1	1	0
1557	1	2	1	0	0	173	0	1	1	0
1558	1	2	1	0	0	173	0	1	1	0
1559	1	2	1	0	0	173	0	1	1	0
1560	1	2	1	0	0	173	0	1	1	0
1561	1	2	1	0	0	173	0	1	1	0
1562	1	2	1	0	0	173	0	1	1	0
1563	1	2	1	0	0	173	0	1	1	0
1564	1	2	1	0	0	173	0	1	1	0
1565	1	2	1	0	0	173	0	1	1	0
1566	1	2	1	0	0	173	0	1	1	0
1568	1	1	2	0	4	453	0	1	1	0
1569	1	1	2	0	4	453	0	1	1	0
1580	1	1	2	0	4	453	0	1	1	0
1597	1	1	2	0	4	453	0	1	1	0
1617	1	2	1	0	0	173	0	1	1	0
1618	1	2	1	0	0	173	0	1	1	0
1619	1	2	1	0	0	173	0	1	1	0
1620	1	2	1	0	0	173	0	1	1	0
1621	1	2	1	0	0	173	0	1	1	0
1622	1	2	1	0	0	173	0	1	1	0
1623	1	2	1	0	0	173	0	1	1	0
1624	1	2	1	0	0	173	0	1	1	0
1625	1	2	1	0	0	173	0	1	1	0
1626	1	2	1	0	0	173	0	1	1	0
1627	1	2	1	0	0	173	0	1	1	0
1628	1	2	1	0	0	173	0	1	1	0
