1.09993,0,2920
1.14593,2920,4380
1.22593,4380,5840
1.27493,5840,7300
1.27493,7300,8760
1.32393,8760,10220
1.32393,10220,11680
1.32393,11680,13140
1.37293,13140,14600
1.37293,14600,16060
1.37293,16060,17520
1.37293,17520,18980
1.42593,18980,20440
1.42593,20440,21900
1.42593,21900,23360
1.42593,23360,24820
1.42593,24820,26280
1.42593,26280,27740
1.58593,27740,29200
1.58593,29200,30660
1.58593,30660,32120
1.58593,32120,33580
1.58593,33580,35040
1.58593,35040,36500
1.58593,36500,37960
1.58594,37960,39420
1.58693,39420,40880
1.66593,40880,42340
1.66593,42340,43800
1.66593,43800,45260
1.66593,45260,46720
1.66593,46720,48180
1.66593,48180,49640
1.66593,49640,51100
1.66594,51100,52560
1.66693,52560,54020
1.66693,54020,55480
1.66693,55480,56940
1.66693,56940,58400
1.66693,58400,59860
1.66693,59860,61320
1.78593,61320,62780
1.78593,62780,64240
1.78593,64240,65700
1.78593,65700,67160
1.78593,67160,68620
1.78593,68620,70080
1.78593,70080,71540
1.78594,71540,73000
1.78693,73000,74460
1.78693,74460,75920
1.78693,75920,77380
1.78693,77380,78840
1.78693,78840,80300
1.78693,80300,81760
1.78693,81760,83220
1.78694,83220,84680
1.78793,84680,86140
1.78793,86140,87600
1.78793,87600,89060
1.78793,89060,90520
1.78793,90520,91980
1.83493,91980,93440
1.83493,93440,94900
1.83493,94900,96360
1.83593,96360,97820
1.83593,97820,99280
1.83593,99280,100740
1.83693,100740,102200
1.83693,102200,103660
1.83693,103660,105120
1.83793,105120,106580
1.83793,106580,108040
1.83793,108040,109500
1.83893,109500,110960
1.83893,110960,112420
1.83893,112420,113880
1.83993,113880,115340
1.83993,115340,116800
1.83993,116800,118260
1.84093,118260,119720
1.84093,119720,121180
1.84093,121180,122640
1.84293,122640,59860
2.00593,59860,59895
2.00593,59895,59930
2.00593,59930,59965
2.00693,59965,60000
2.05093,60000,60035
2.05093,60035,60070
2.05093,60070,60105
2.05093,60105,60140
2.05193,60140,60175
2.05193,60175,60210
2.05193,60210,60245
2.05193,60245,60280
2.05193,60280,60315
2.05293,60315,60350
2.05293,60350,60385
2.05293,60385,60420
2.05293,60420,60455
2.05293,60455,60490
2.05393,60490,60525
2.05393,60525,60560
2.05393,60560,60595
2.05493,60595,60630
2.05493,60630,60665
2.05593,60665,60700
2.10093,60700,60735
2.10093,60735,60770
2.10093,60770,60805
2.10193,60805,60840
2.10193,60840,60875
2.10193,60875,60910
2.10293,60910,60944
2.10293,60944,60978
2.10293,60978,61012
2.10393,61012,61046
2.10393,61046,61080
2.10393,61080,61114
2.10493,61114,61148
2.10493,61148,61182
2.10493,61182,61216
2.14593,61216,61250
2.14593,61250,61284
2.14593,61284,61318
2.14693,61318,61352
2.14693,61352,61386
2.14693,61386,61420
2.14793,61420,61454
2.14793,61454,61488
2.14793,61488,61522
2.14993,61522,61556
2.14993,61556,61590
2.14993,61590,61624
2.15093,61624,61658
2.15093,61658,61692
2.15093,61692,61726
2.15193,61726,61760
2.15193,61760,61794
2.15193,61794,61828
2.15293,61828,61862
2.15393,61862,61896
2.26593,61896,61930
2.26593,61930,61964
2.26593,61964,61998
2.26693,61998,62032
2.26693,62032,62066
2.26693,62066,62100
2.26793,62100,62134
2.26793,62134,62168
2.26793,62168,62202
2.26893,62202,62236
2.26893,62236,62270
2.26893,62270,62304
2.26993,62304,62338
2.26993,62338,62372
2.26993,62372,62406
2.27093,62406,62440
2.27093,62440,62474
2.27093,62474,62508
2.27193,62508,62542
2.27193,62542,62576
2.27193,62576,62610
2.62593,62610,62644
2.62593,62644,62678
2.62593,62678,62712
2.62593,62712,62745
2.62593,62745,62778
2.62593,62778,62811
2.62594,62811,29930
2.70893,29930,30001
2.75093,30001,13140
2.82593,13140,13302
2.82593,13302,13462
2.82593,13462,13620
2.90593,13620,13776
2.90593,13776,13930
2.90593,13930,14083
2.90593,14083,14234
2.98593,14234,14383
2.98593,14383,14531
2.98593,14531,14677
2.98593,14677,14822
3.06593,14822,14965
3.06593,14965,15107
3.06593,15107,15248
3.06593,15248,15387
3.07693,15387,15525
3.11493,15525,15662
3.11493,15662,15798
