% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.076	1	1	108	7	2	2	277	0
1.122	1	1	113	3	2	2	277	0
1.125	1	1	113	6	2	2	277	0
1.202	1	1	121	3	2	6	645	0
1.211	1	1	122	2	2	6	645	0
1.251	1	1	126	2	2	4	453	0
1.3	1	1	131	1	2	6	645	0
1.301	1	1	131	2	2	6	645	0
1.349	1	1	135	10	2	8	871	0
1.35	1	1	136	1	2	8	871	0
1.398	1	2	140	9	1	2	277	0
1.402	1	1	141	3	2	0	349	0
1.403	1	1	141	4	2	0	349	0
1.451	1	2	146	2	1	4	453	0
1.452	1	2	146	3	1	4	453	0
1.457	1	2	146	8	1	4	453	0
1.458	1	2	146	9	1	4	453	0
1.47	1	2	148	1	1	4	453	0
1.482	1	2	149	3	1	8	871	0
1.5	1	2	151	1	1	8	871	0
1.501	1	2	151	2	1	8	871	0
1.502	1	2	151	3	1	8	871	0
1.503	1	2	151	4	1	8	871	0
1.504	1	2	151	5	1	8	871	0
1.511	1	2	152	2	1	8	871	0
1.512	1	2	152	3	1	8	871	0
1.513	1	2	152	4	1	8	871	0
1.531	1	2	154	2	1	0	173	0
1.532	1	2	154	3	1	0	173	0
1.533	1	2	154	4	1	0	173	0
1.534	1	2	154	5	1	0	173	0
1.535	1	2	154	6	1	0	173	0
1.536	1	2	154	7	1	0	173	0
1.537	1	2	154	8	1	0	173	0
1.538	1	2	154	9	1	0	173	0
1.549	1	2	155	10	1	0	173	0
1.55	1	2	156	1	1	0	173	0
1.551	1	2	156	2	1	0	173	0
1.552	1	2	156	3	1	0	173	0
1.553	1	2	156	4	1	0	173	0
1.554	1	2	156	5	1	0	173	0
1.555	1	2	156	6	1	0	173	0
1.556	1	2	156	7	1	0	173	0
1.557	1	2	156	8	1	0	173	0
1.558	1	2	156	9	1	0	173	0
1.559	1	2	156	10	1	0	173	0
1.56	1	2	157	1	1	0	173	0
1.562	1	1	157	3	2	4	453	0
1.563	1	1	157	4	2	4	453	0
1.574	1	1	158	5	2	4	453	0
1.575	1	1	158	6	2	4	453	0
1.591	1	1	160	2	2	4	453	0
1.594	1	1	160	5	2	4	453	0
1.611	1	2	162	2	1	0	173	0
1.612	1	2	162	3	1	0	173	0
1.613	1	2	162	4	1	0	173	0
1.614	1	2	162	5	1	0	173	0
1.615	1	2	162	6	1	0	173	0
1.616	1	2	162	7	1	0	173	0
1.617	1	2	162	8	1	0	173	0
1.618	1	2	162	9	1	0	173	0
1.619	1	2	162	10	1	0	173	0
1.62	1	2	163	1	1	0	173	0
1.621	1	2	163	2	1	0	173	0
1.622	1	2	163	3	1	0	173	0
1.623	1	2	163	4	1	0	173	0
1.624	1	2	163	5	1	0	173	0
1.625	1	2	163	6	1	0	173	0
1.626	1	2	163	7	1	0	173	0
1.627	1	2	163	8	1	0	173	0
1.628	1	2	163	9	1	0	173	0
1.629	1	2	163	10	1	0	173	0
1.63	1	2	164	1	1	0	173	0
1.631	1	2	164	2	1	0	173	0
1.632	1	2	164	3	1	0	173	0
1.633	1	2	164	4	1	0	173	0
1.634	1	2	164	5	1	0	173	0
1.635	1	2	164	6	1	0	173	0
1.636	1	2	164	7	1	0	173	0
1.637	1	2	164	8	1	0	173	0
1.638	1	2	164	9	1	0	173	0
1.639	1	2	164	10	1	0	173	0
1.64	1	2	165	1	1	0	173	0
1.641	1	2	165	2	1	0	173	0
1.642	1	2	165	3	1	0	173	0
1.642	1	1	165	3	2	4	453	0
1.643	1	2	165	4	1	0	173	0
1.643	1	1	165	4	2	4	453	0
1.659	1	2	166	10	1	0	173	0
1.659	1	1	166	10	2	4	453	0
1.671	1	2	168	2	1	0	173	0
1.671	1	1	168	2	2	4	453	0
1.679	1	2	168	10	1	0	173	0
1.679	1	1	168	10	2	4	453	0
1.691	1	2	170	2	1	0	173	0
