0.5,0,0,0,0,0
1.5,3.05123,1.70231,0.996179,0.50613,0.357943
2.5,2.58623,10.5694,19.8826,0.814799,12.4395
3.5,2.71598,7.76179,15.4802,1.01529,7.33027
4.5,3.40236,7.20539,11.9157,1.41325,5.38756
5.5,4.12716,6.55426,9.80424,1.47335,4.67083
6.5,4.32441,6.08521,8.3754,1.67059,4.22191
7.5,4.45067,5.79534,7.29087,1.90024,3.85814
8.5,4.05393,5.29559,6.66084,2.00907,3.67103
9.5,3.6805,4.9063,6.18354,1.98756,3.57055
10.5,3.66032,4.79487,5.7209,1.97918,3.4229
11.5,3.46333,4.54874,5.29072,1.93235,3.29012
12.5,3.23699,4.33792,5.0783,2.03715,3.3861
13.5,3.08816,4.1205,4.7685,2.11859,3.3626
14.5,2.99783,3.87577,4.52925,2.0389,3.31953
15.5,2.99126,3.77123,4.3745,1.98167,3.29277
16.5,2.95578,3.63878,4.32435,1.97221,3.20882
17.5,2.92575,3.5654,4.40444,1.9813,3.07272
18.5,2.92486,3.53875,4.28101,2.00501,2.96294
19.5,2.84993,3.44824,4.16526,1.99333,2.90513
20.5,2.78493,3.31651,4.09718,2.09643,2.85625
21.5,2.70906,3.20489,4.04105,2.11037,2.86685
22.5,2.64113,3.18707,3.91943,2.06557,2.88499
23.5,2.59742,3.14748,3.90594,2.0392,2.9609
24.5,2.62873,3.08233,3.95911,2.10285,2.96319
25.5,2.68095,3.07489,3.84686,2.12667,2.96204
26.5,2.66914,3.0593,3.75663,2.09617,2.89816
27.5,2.72734,3.09138,3.66111,2.06881,2.90627
28.5,2.72325,3.04965,3.63671,2.05843,2.99553
29.5,2.67783,3.09008,3.60795,2.05252,2.955
30.5,2.66939,3.13697,3.56624,2.09705,2.89227
31.5,2.69186,3.08763,3.50949,2.1049,2.87571
32.5,2.71353,3.03589,3.47256,2.09745,2.9323
33.5,2.73303,3.04224,3.43163,2.07626,2.9499
34.5,2.71272,3.01198,3.39541,2.09459,3.01862
35.5,2.69204,2.95145,3.42712,2.07265,3.00911
36.5,2.69018,2.9208,3.49779,2.06071,2.97453
37.5,2.7276,2.91964,3.53431,2.0573,2.9726
38.5,2.79205,2.90429,3.58927,2.05063,2.96212
39.5,2.738,2.86209,3.58277,2.03608,2.89888
40.5,2.69452,2.82835,3.51642,2.04241,2.8468
