% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1020	1	1	2	2	0	26	7708	0	1	1	0
1020	1	1	2	2	1	26	7708	0	1	1	0
1040	1	1	2	2	0	26	7708	0	1	1	0
1040	1	1	2	2	1	26	7708	0	1	1	0
1051	1	1	2	2	0	26	7708	0	1	1	0
1051	1	1	2	2	1	26	7708	0	1	1	0
1070	1	2	1	2	0	26	7708	0	1	1	0
1070	1	2	1	2	1	26	7708	0	1	1	0
1085	1	1	2	2	0	26	7708	0	1	1	0
1085	1	1	2	2	1	26	7708	0	1	1	0
1090	1	2	1	2	0	26	7708	0	1	1	0
1090	1	2	1	2	1	26	7708	0	1	1	0
1105	1	1	2	2	0	26	7708	0	1	1	0
1105	1	1	2	2	1	26	7708	0	1	1	0
1124	1	2	1	2	0	24	6882	0	1	1	0
1124	1	2	1	2	1	24	6882	0	1	1	0
1125	1	1	2	2	0	26	7708	0	1	1	0
1125	1	1	2	2	1	26	7708	0	1	1	0
1131	1	1	2	2	0	28	9422	0	1	1	0
1131	1	1	2	2	1	28	9422	0	1	1	0
1134	1	2	1	2	0	26	7708	0	1	1	0
1134	1	2	1	2	1	26	7708	0	1	1	0
1139	1	2	1	2	0	26	7708	0	1	1	0
1139	1	2	1	2	1	26	7708	0	1	1	0
1144	1	2	1	2	0	26	7708	0	1	1	0
1144	1	2	1	2	1	26	7708	0	1	1	0
1150	1	2	1	2	0	26	7708	0	1	1	0
1150	1	2	1	2	1	26	7708	0	1	1	0
1164	1	2	1	2	0	26	7708	0	1	1	0
1164	1	2	1	2	1	26	7708	0	1	1	0
1165	1	1	2	2	0	26	7708	0	1	1	0
1165	1	1	2	2	1	26	7708	0	1	1	0
1173	1	2	1	2	0	26	7708	0	1	1	0
1173	1	2	1	2	1	26	7708	0	1	1	0
1174	1	2	1	2	0	28	9422	0	1	1	0
1174	1	2	1	2	1	28	9422	0	1	1	0
1180	1	1	2	2	0	26	7708	0	1	1	0
1180	1	1	2	2	1	26	7708	0	1	1	0
1180	1	2	1	2	0	28	9422	0	1	1	0
1180	1	2	1	2	1	28	9422	0	1	1	0
1184	1	2	1	2	0	28	9422	0	1	1	0
1184	1	2	1	2	1	28	9422	0	1	1	0
1200	1	2	1	2	0	26	7708	0	1	1	0
1200	1	2	1	2	1	26	7708	0	1	1	0
1214	1	1	2	2	0	26	7708	0	1	1	0
1214	1	1	2	2	1	26	7708	0	1	1	0
1229	1	1	2	2	0	26	3662	0	1	1	0
1229	1	1	2	2	1	26	3662	0	1	1	0
1229	1	2	1	2	0	26	3662	0	1	1	0
1229	1	2	1	2	1	26	3662	0	1	1	0
1233	1	2	1	2	0	28	9422	0	1	1	0
1233	1	2	1	2	1	28	9422	0	1	1	0
1234	1	2	1	2	0	28	9422	0	1	1	0
1234	1	2	1	2	1	28	9422	0	1	1	0
1235	1	2	1	2	0	28	9422	0	1	1	0
1235	1	2	1	2	1	28	9422	0	1	1	0
1243	1	2	1	2	0	28	9422	0	1	1	0
1243	1	2	1	2	1	28	9422	0	1	1	0
1256	1	2	1	2	0	26	7708	0	1	1	0
1256	1	2	1	2	1	26	7708	0	1	1	0
1263	1	1	2	2	0	28	4395	0	1	1	0
1263	1	1	2	2	1	28	4395	0	1	1	0
1263	1	2	1	2	0	24	3182	0	1	1	0
1263	1	2	1	2	1	24	3182	0	1	1	0
1264	1	1	2	2	0	28	4395	0	1	1	0
1264	1	1	2	2	1	28	4395	0	1	1	0
1264	1	2	1	2	0	26	3662	0	1	1	0
1264	1	2	1	2	1	26	3662	0	1	1	0
1273	1	1	2	2	0	28	9422	0	1	1	0
1273	1	1	2	2	1	28	9422	0	1	1	0
1273	1	2	1	2	0	26	7708	0	1	1	0
1273	1	2	1	2	1	26	7708	0	1	1	0
1278	1	1	2	2	0	28	9422	0	1	1	0
1278	1	1	2	2	1	28	9422	0	1	1	0
1278	1	2	1	2	0	26	7708	0	1	1	0
1278	1	2	1	2	1	26	7708	0	1	1	0
1292	1	2	1	2	0	28	9422	0	1	1	0
1292	1	2	1	2	1	28	9422	0	1	1	0
1308	1	2	1	2	0	26	7708	0	1	1	0
1308	1	2	1	2	1	26	7708	0	1	1	0
1312	1	1	2	2	0	26	7708	0	1	1	0
1312	1	1	2	2	1	26	7708	0	1	1	0
1313	1	1	2	2	0	26	7708	0	1	1	0
1313	1	1	2	2	1	26	7708	0	1	1	0
1324	1	2	1	2	0	28	9422	0	1	1	0
1324	1	2	1	2	1	28	9422	0	1	1	0
1325	1	2	1	2	0	28	9422	0	1	1	0
1325	1	2	1	2	1	28	9422	0	1	1	0
1326	1	2	1	2	0	28	9422	0	1	1	0
1326	1	2	1	2	1	28	9422	0	1	1	0
1327	1	1	2	2	0	26	3662	0	1	1	0
1327	1	1	2	2	1	26	3662	0	1	1	0
1327	1	2	1	2	0	28	4395	0	1	1	0
1327	1	2	1	2	1	28	4395	0	1	1	0
1328	1	2	1	2	0	26	7708	0	1	1	0
1328	1	2	1	2	1	26	7708	0	1	1	0
1342	1	2	1	2	0	24	6882	0	1	1	0
1342	1	2	1	2	1	24	6882	0	1	1	0
1353	1	2	1	2	0	26	7708	0	1	1	0
1353	1	2	1	2	1	26	7708	0	1	1	0
1361	1	1	2	2	0	26	3662	0	1	1	0
1361	1	1	2	2	1	26	3662	0	1	1	0
1361	1	2	1	2	0	28	4395	0	1	0	0
1361	1	2	1	2	1	28	4395	0	1	0	0
1362	1	1	2	2	0	26	3662	0	1	1	0
1362	1	1	2	2	1	26	3662	0	1	1	0
1362	1	2	1	2	0	26	3662	0	1	1	0
1362	1	2	1	2	1	26	3662	0	1	1	0
1363	1	1	2	2	0	26	7708	0	1	1	0
1363	1	1	2	2	1	26	7708	0	1	1	0
1370	1	2	1	2	0	26	7708	0	1	1	0
1370	1	2	1	2	1	26	7708	0	1	1	0
1383	1	1	2	2	0	26	7708	0	1	1	0
1383	1	1	2	2	1	26	7708	0	1	1	0
1384	1	1	2	2	0	26	7708	0	1	1	0
1384	1	1	2	2	1	26	7708	0	1	1	0
1385	1	1	2	2	0	26	7708	0	1	1	0
1385	1	1	2	2	1	26	7708	0	1	1	0
1402	1	1	2	2	0	26	3662	0	1	1	0
1402	1	1	2	2	1	26	3662	0	1	1	0
1402	1	2	1	2	0	26	3662	0	1	1	0
1402	1	2	1	2	1	26	3662	0	1	1	0
1404	1	1	2	2	0	26	3662	0	1	1	0
1404	1	1	2	2	1	26	3662	0	1	1	0
1404	1	2	1	2	0	26	3662	0	1	1	0
1404	1	2	1	2	1	26	3662	0	1	1	0
1405	1	2	1	2	0	26	7708	0	1	1	0
1405	1	2	1	2	1	26	7708	0	1	1	0
1406	1	1	2	2	0	26	3662	0	1	1	0
1406	1	1	2	2	1	26	3662	0	1	1	0
1406	1	2	1	2	0	26	3662	0	1	1	0
1406	1	2	1	2	1	26	3662	0	1	1	0
1407	1	2	1	2	0	26	7708	0	1	1	0
1407	1	2	1	2	1	26	7708	0	1	1	0
1408	1	2	1	2	0	26	7708	0	1	1	0
1408	1	2	1	2	1	26	7708	0	1	1	0
1409	1	2	1	2	0	26	7708	0	1	1	0
1409	1	2	1	2	1	26	7708	0	1	1	0
1410	1	1	2	2	0	28	4395	0	1	1	0
1410	1	1	2	2	1	28	4395	0	1	1	0
1410	1	2	1	2	0	26	3662	0	1	1	0
1410	1	2	1	2	1	26	3662	0	1	1	0
1411	1	1	2	2	0	28	4395	0	1	1	0
1411	1	1	2	2	1	28	4395	0	1	1	0
1411	1	2	1	2	0	26	3662	0	1	1	0
1411	1	2	1	2	1	26	3662	0	1	1	0
1419	1	2	1	2	0	28	9422	0	1	1	0
1419	1	2	1	2	1	28	9422	0	1	1	0
1424	1	2	1	2	0	28	9422	0	1	1	0
1424	1	2	1	2	1	28	9422	0	1	1	0
1430	1	2	1	2	0	28	9422	0	1	1	0
1430	1	2	1	2	1	28	9422	0	1	1	0
1435	1	2	1	2	0	28	9422	0	1	1	0
1435	1	2	1	2	1	28	9422	0	1	1	0
1441	1	2	1	2	0	28	9422	0	1	1	0
1441	1	2	1	2	1	28	9422	0	1	1	0
1445	1	1	2	2	0	26	7708	0	1	1	0
1445	1	1	2	2	1	26	7708	0	1	1	0
1446	1	1	2	2	0	26	7708	0	1	1	0
1446	1	1	2	2	1	26	7708	0	1	1	0
1447	1	1	2	2	0	26	7708	0	1	1	0
1447	1	1	2	2	1	26	7708	0	1	1	0
1453	1	2	1	2	0	26	7708	0	1	1	0
1453	1	2	1	2	1	26	7708	0	1	1	0
1454	1	2	1	2	0	26	7708	0	1	1	0
1454	1	2	1	2	1	26	7708	0	1	1	0
1455	1	2	1	2	0	26	7708	0	1	1	0
1455	1	2	1	2	1	26	7708	0	1	1	0
1456	1	2	1	2	0	26	7708	0	1	1	0
1456	1	2	1	2	1	26	7708	0	1	1	0
1457	1	2	1	2	0	26	7708	0	1	1	0
1457	1	2	1	2	1	26	7708	0	1	1	0
1458	1	2	1	2	0	26	7708	0	1	1	0
1458	1	2	1	2	1	26	7708	0	1	1	0
1459	1	2	1	2	0	26	7708	0	1	1	0
1459	1	2	1	2	1	26	7708	0	1	1	0
1460	1	2	1	2	0	26	7708	0	1	1	0
1460	1	2	1	2	1	26	7708	0	1	1	0
1461	1	2	1	2	0	26	7708	0	1	1	0
