% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.042	1	1	105	3	2	4	903	0
1.046	1	1	105	7	2	4	903	0
1.081	1	2	109	2	1	2	573	0
1.122	1	1	113	3	2	10	2196	0
1.13	1	2	114	1	1	2	573	0
1.131	1	1	114	2	2	16	1908	0
1.131	1	2	114	2	1	8	871	0
1.14	1	2	115	1	1	2	573	0
1.141	1	2	115	2	1	2	573	0
1.165	1	2	117	6	1	8	1764	0
1.17	1	2	118	1	1	8	1764	0
1.171	1	1	118	2	2	2	573	0
1.179	1	2	118	10	1	8	1764	0
1.18	1	2	119	1	1	8	1764	0
1.181	1	2	119	2	1	8	1764	0
1.182	1	2	119	3	1	8	1764	0
1.19	1	2	120	1	1	8	1764	0
1.191	1	2	120	2	1	8	1764	0
1.2	1	2	121	1	1	8	1764	0
1.22	1	1	123	1	2	22	2865	0
1.22	1	2	123	1	1	8	871	0
1.269	1	1	127	10	2	18	2292	0
1.27	1	1	128	1	2	18	2292	0
1.281	1	2	129	2	1	6	1287	0
1.282	1	2	129	3	1	6	1287	0
1.283	1	2	129	4	1	6	1287	0
1.284	1	2	129	5	1	6	1287	0
1.299	1	2	130	10	1	6	1287	0
1.304	1	2	131	5	1	6	1287	0
1.318	1	1	132	9	2	14	3182	0
1.319	1	1	132	10	2	14	3182	0
1.361	1	2	137	2	1	6	1287	0
1.362	1	2	137	3	1	6	1287	0
1.363	1	2	137	4	1	6	1287	0
1.364	1	2	137	5	1	6	1287	0
1.365	1	2	137	6	1	6	1287	0
1.366	1	2	137	7	1	6	1287	0
1.367	1	2	137	8	1	16	1908	0
1.368	1	2	137	9	1	16	1908	0
1.369	1	2	137	10	1	16	1908	0
1.37	1	2	138	1	1	16	1908	0
1.371	1	2	138	2	1	16	1908	0
1.372	1	2	138	3	1	16	1908	0
1.379	1	2	138	10	1	16	1908	0
1.38	1	2	139	1	1	16	1908	0
1.381	1	2	139	2	1	16	1908	0
1.382	1	2	139	3	1	16	1908	0
1.393	1	2	140	4	1	16	1908	0
1.394	1	2	140	5	1	16	1908	0
1.395	1	2	140	6	1	16	1908	0
1.396	1	2	140	7	1	16	1908	0
1.397	1	2	140	8	1	16	1908	0
1.398	1	2	140	9	1	16	1908	0
1.402	1	1	141	3	2	12	2481	0
1.409	1	1	141	10	2	12	2481	0
1.41	1	2	142	1	1	0	349	0
1.411	1	2	142	2	1	0	349	0
1.412	1	2	142	3	1	0	349	0
1.413	1	2	142	4	1	0	349	0
1.414	1	2	142	5	1	0	349	0
1.415	1	2	142	6	1	0	349	0
1.416	1	2	142	7	1	0	349	0
1.417	1	2	142	8	1	0	349	0
1.418	1	2	142	9	1	0	349	0
1.419	1	2	142	10	1	0	349	0
1.42	1	2	143	1	1	0	349	0
1.421	1	2	143	2	1	0	349	0
1.422	1	2	143	3	1	0	349	0
1.423	1	2	143	4	1	0	349	0
1.424	1	2	143	5	1	0	349	0
1.425	1	2	143	6	1	0	349	0
1.426	1	2	143	7	1	0	349	0
1.427	1	2	143	8	1	0	349	0
1.428	1	2	143	9	1	0	349	0
1.429	1	2	143	10	1	0	349	0
1.43	1	2	144	1	1	0	349	0
1.431	1	2	144	2	1	0	349	0
1.432	1	2	144	3	1	0	349	0
1.433	1	2	144	4	1	0	349	0
1.434	1	2	144	5	1	0	349	0
1.435	1	2	144	6	1	0	349	0
1.436	1	2	144	7	1	0	349	0
1.437	1	2	144	8	1	0	349	0
1.438	1	2	144	9	1	0	349	0
1.439	1	2	144	10	1	0	349	0
1.44	1	2	145	1	1	0	349	0
1.441	1	2	145	2	1	8	1764	0
1.442	1	2	145	3	1	8	1764	0
1.443	1	2	145	4	1	8	1764	0
1.444	1	2	145	5	1	8	1764	0
1.445	1	2	145	6	1	8	1764	0
1.446	1	2	145	7	1	8	1764	0
1.447	1	2	145	8	1	8	1764	0
1.448	1	2	145	9	1	8	1764	0
1.459	1	1	146	10	2	12	1239	0
1.459	1	2	146	10	1	8	871	0
1.46	1	2	147	1	1	8	1764	0
1.461	1	2	147	2	1	8	1764	0
1.462	1	2	147	3	1	8	1764	0
1.463	1	2	147	4	1	8	1764	0
1.464	1	2	147	5	1	8	1764	0
1.465	1	2	147	6	1	8	1764	0
1.466	1	2	147	7	1	8	1764	0
1.467	1	2	147	8	1	8	1764	0
1.468	1	2	147	9	1	8	1764	0
1.469	1	2	147	10	1	8	1764	0
1.47	1	2	148	1	1	8	1764	0
1.471	1	2	148	2	1	8	1764	0
1.472	1	2	148	3	1	8	1764	0
1.473	1	1	148	4	2	12	1239	0
1.473	1	2	148	4	1	8	871	0
1.474	1	2	148	5	1	8	1764	0
1.475	1	2	148	6	1	8	1764	0
1.476	1	2	148	7	1	8	1764	0
1.477	1	2	148	8	1	8	1764	0
1.478	1	2	148	9	1	8	1764	0
1.479	1	2	148	10	1	8	1764	0
1.48	1	2	149	1	1	8	1764	0
1.481	1	2	149	2	1	2	573	0
1.482	1	2	149	3	1	2	573	0
1.483	1	2	149	4	1	2	573	0
1.484	1	2	149	5	1	2	573	0
1.485	1	2	149	6	1	2	573	0
1.486	1	2	149	7	1	2	573	0
1.487	1	2	149	8	1	2	573	0
1.488	1	2	149	9	1	2	573	0
1.489	1	2	149	10	1	2	573	0
1.49	1	2	150	1	1	2	573	0
1.491	1	2	150	2	1	2	573	0
1.492	1	2	150	3	1	2	573	0
1.493	1	2	150	4	1	2	573	0
1.494	1	2	150	5	1	2	573	0
1.495	1	2	150	6	1	2	573	0
1.496	1	2	150	7	1	2	573	0
1.508	1	2	151	9	1	2	277	0
1.509	1	2	151	10	1	2	277	0
1.51	1	2	152	1	1	2	277	0
1.511	1	2	152	2	1	2	277	0
1.512	1	2	152	3	1	2	277	0
1.513	1	2	152	4	1	2	277	0
1.514	1	2	152	5	1	2	277	0
1.515	1	2	152	6	1	2	277	0
1.516	1	2	152	7	1	2	277	0
1.517	1	2	152	8	1	2	277	0
1.518	1	2	152	9	1	2	277	0
1.52	1	2	153	1	1	2	277	0
1.521	1	2	153	2	1	12	1239	0
1.522	1	1	153	3	2	4	903	0
1.527	1	2	153	8	1	12	2481	0
1.53	1	2	154	1	1	12	2481	0
1.533	1	1	154	4	2	4	903	0
1.534	1	2	154	5	1	12	2481	0
1.535	1	2	154	6	1	12	2481	0
1.536	1	2	154	7	1	12	2481	0
1.537	1	2	154	8	1	12	2481	0
1.538	1	2	154	9	1	12	2481	0
1.539	1	2	154	10	1	12	2481	0
1.547	1	2	155	8	1	12	2481	0
1.548	1	2	155	9	1	12	2481	0
1.549	1	2	155	10	1	12	2481	0
1.557	1	2	156	8	1	12	2481	0
1.558	1	2	156	9	1	12	2481	0
1.571	1	1	158	2	2	4	453	0
1.572	1	1	158	3	2	4	453	0
1.573	1	1	158	4	2	4	453	0
1.574	1	1	158	5	2	4	453	0
1.575	1	1	158	6	2	4	453	0
1.576	1	1	158	7	2	4	453	0
1.577	1	1	158	8	2	4	453	0
1.578	1	1	158	9	2	4	453	0
1.579	1	1	158	10	2	4	453	0
1.597	1	1	160	8	2	4	453	0
1.598	1	1	160	9	2	4	453	0
1.601	1	1	161	2	2	4	453	0
1.601	1	2	161	2	1	8	871	0
1.602	1	2	161	3	1	8	871	0
1.603	1	2	161	4	1	8	871	0
1.604	1	2	161	5	1	8	871	0
1.605	1	2	161	6	1	8	871	0
1.606	1	2	161	7	1	8	871	0
1.607	1	2	161	8	1	8	871	0
1.608	1	2	161	9	1	8	871	0
1.609	1	2	161	10	1	8	871	0
1.61	1	2	162	1	1	8	871	0
1.611	1	2	162	2	1	8	871	0
1.612	1	2	162	3	1	8	871	0
1.613	1	2	162	4	1	8	871	0
1.614	1	2	162	5	1	8	871	0
1.615	1	2	162	6	1	8	871	0
1.616	1	2	162	7	1	8	871	0
1.617	1	2	162	8	1	8	871	0
1.618	1	2	162	9	1	8	871	0
1.619	1	2	162	10	1	8	871	0
1.62	1	2	163	1	1	8	871	0
1.621	1	2	163	2	1	8	871	0
1.622	1	2	163	3	1	8	871	0
1.623	1	2	163	4	1	8	871	0
1.624	1	2	163	5	1	8	871	0
1.625	1	2	163	6	1	8	871	0
1.626	1	2	163	7	1	8	871	0
1.627	1	2	163	8	1	8	871	0
1.628	1	2	163	9	1	8	871	0
1.629	1	2	163	10	1	8	871	0
1.63	1	2	164	1	1	8	871	0
1.631	1	2	164	2	1	8	871	0
1.632	1	2	164	3	1	8	871	0
1.633	1	2	164	4	1	8	871	0
1.634	1	2	164	5	1	8	871	0
1.635	1	2	164	6	1	8	871	0
1.636	1	2	164	7	1	8	871	0
1.637	1	2	164	8	1	8	871	0
1.638	1	2	164	9	1	8	871	0
1.639	1	2	164	10	1	8	871	0
1.64	1	2	165	1	1	8	871	0
1.641	1	2	165	2	1	4	453	0
1.642	1	1	165	3	2	14	1620	0
1.642	1	2	165	3	1	4	453	0
1.643	1	1	165	4	2	14	1620	0
1.643	1	2	165	4	1	4	453	0
1.644	1	2	165	5	1	4	903	0
1.645	1	2	165	6	1	4	903	0
1.646	1	2	165	7	1	4	903	0
1.647	1	2	165	8	1	4	903	0
1.648	1	2	165	9	1	4	903	0
1.649	1	1	165	10	2	14	1620	0
1.649	1	2	165	10	1	4	453	0
1.65	1	1	166	1	2	14	1620	0
1.65	1	2	166	1	1	4	453	0
1.651	1	2	166	2	1	4	903	0
1.652	1	2	166	3	1	4	903	0
1.653	1	2	166	4	1	4	903	0
1.654	1	2	166	5	1	4	903	0
1.655	1	2	166	6	1	4	903	0
1.656	1	2	166	7	1	4	903	0
1.657	1	2	166	8	1	4	903	0
1.658	1	2	166	9	1	4	903	0
1.659	1	2	166	10	1	4	903	0
1.66	1	2	167	1	1	4	903	0
1.661	1	2	167	2	1	4	903	0
1.662	1	2	167	3	1	4	903	0
1.663	1	2	167	4	1	4	903	0
1.664	1	2	167	5	1	4	903	0
1.665	1	2	167	6	1	4	903	0
1.666	1	2	167	7	1	4	903	0
1.667	1	2	167	8	1	4	903	0
1.668	1	2	167	9	1	4	903	0
1.669	1	1	167	10	2	14	1620	0
1.669	1	2	167	10	1	4	453	0
1.67	1	2	168	1	1	4	903	0
1.671	1	1	168	2	2	14	1620	0
1.671	1	2	168	2	1	4	453	0
1.672	1	2	168	3	1	4	903	0
1.673	1	2	168	4	1	4	903	0
1.674	1	2	168	5	1	4	903	0
1.675	1	2	168	6	1	4	903	0
1.676	1	2	168	7	1	4	903	0
1.677	1	2	168	8	1	4	903	0
1.678	1	2	168	9	1	4	903	0
1.679	1	2	168	10	1	4	903	0
1.68	1	2	169	1	1	4	903	0
1.681	1	2	169	2	1	0	349	0
1.682	1	2	169	3	1	0	349	0
1.683	1	2	169	4	1	0	349	0
1.684	1	2	169	5	1	0	349	0
1.685	1	2	169	6	1	0	349	0
1.686	1	2	169	7	1	0	349	0
1.687	1	2	169	8	1	0	349	0
1.688	1	2	169	9	1	0	349	0
1.689	1	2	169	10	1	0	349	0
1.69	1	2	170	1	1	0	349	0
1.691	1	1	170	2	2	22	2865	0
1.691	1	2	170	2	1	0	173	0
1.692	1	1	170	3	2	22	2865	0
1.692	1	2	170	3	1	0	173	0
1.693	1	1	170	4	2	22	2865	0
1.693	1	2	170	4	1	0	173	0
1.694	1	1	170	5	2	22	2865	0
1.694	1	2	170	5	1	0	173	0
1.695	1	1	170	6	2	22	2865	0
1.695	1	2	170	6	1	0	173	0
1.696	1	1	170	7	2	22	2865	0
1.696	1	2	170	7	1	0	173	0
1.697	1	1	170	8	2	22	2865	0
1.697	1	2	170	8	1	0	173	0
1.698	1	1	170	9	2	22	2865	0
1.698	1	2	170	9	1	0	173	0
1.699	1	1	170	10	2	22	2865	0
1.699	1	2	170	10	1	0	173	0
1.7	1	1	171	1	2	22	2865	0
1.7	1	2	171	1	1	0	173	0
1.701	1	1	171	2	2	22	2865	0
1.701	1	2	171	2	1	0	173	0
1.702	1	1	171	3	2	22	2865	0
1.702	1	2	171	3	1	0	173	0
1.703	1	1	171	4	2	22	2865	0
1.703	1	2	171	4	1	0	173	0
1.704	1	1	171	5	2	22	2865	0
1.704	1	2	171	5	1	0	173	0
1.705	1	1	171	6	2	22	2865	0
1.705	1	2	171	6	1	0	173	0
1.706	1	1	171	7	2	22	2865	0
1.706	1	2	171	7	1	0	173	0
1.707	1	1	171	8	2	22	2865	0
1.707	1	2	171	8	1	0	173	0
1.708	1	2	171	9	1	0	349	0
1.709	1	2	171	10	1	0	349	0
1.71	1	2	172	1	1	0	349	0
1.711	1	2	172	2	1	0	349	0
1.712	1	2	172	3	1	0	349	0
1.713	1	2	172	4	1	0	349	0
1.714	1	2	172	5	1	0	349	0
1.715	1	2	172	6	1	0	349	0
1.716	1	2	172	7	1	0	349	0
1.717	1	2	172	8	1	0	349	0
1.718	1	2	172	9	1	0	349	0
1.719	1	2	172	10	1	0	349	0
1.72	1	2	173	1	1	0	349	0
1.721	1	2	173	2	1	4	903	0
1.722	1	2	173	3	1	4	903	0
1.723	1	2	173	4	1	4	903	0
1.724	1	2	173	5	1	4	903	0
1.725	1	1	173	6	2	20	2673	0
