% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.841	1	2	1	27.5539	0
3.842	1	1	2	140.653	0
3.881	1	2	1	67.5149	0
3.882	1	1	2	40.4823	0
3.921	1	2	1	52.7038	0
3.922	1	1	2	69.4532	0
3.961	1	2	1	32.194	0
3.962	1	1	2	51.8971	0
4.001	1	2	1	57.2094	0
4.002	1	1	2	64.8688	0
4.041	1	2	1	56.5352	0
4.042	1	1	2	58.7048	0
4.081	1	2	1	107.469	0
4.082	1	1	2	32.4835	0
4.121	1	2	1	69.4498	0
4.122	1	1	2	48.9492	0
4.161	1	2	1	60.2022	0
4.162	1	1	2	147.78	0
4.201	1	2	1	161.608	0
4.202	1	1	2	71.9956	0
4.241	1	2	1	99.5514	0
4.242	1	1	2	65.2721	0
4.281	1	2	1	32.683	0
4.282	1	1	2	73.9726	0
4.321	1	2	1	73.5695	0
4.322	1	1	2	123.794	0
4.361	1	2	1	79.7837	0
4.362	1	1	2	49.7902	0
4.401	1	2	1	203.733	0
4.402	1	1	2	15.9956	0
4.441	1	2	1	152.912	0
4.442	1	1	2	41.4586	0
4.481	1	2	1	134.96	0
4.482	1	1	2	34.9757	0
4.521	1	2	1	50.9785	0
4.522	1	1	2	61.4546	0
4.561	1	2	1	78.0821	0
4.562	1	1	2	65.0872	0
4.601	1	2	1	31.8132	0
4.602	1	1	2	116.582	0
4.641	1	2	1	70.8502	0
4.642	1	1	2	54.8717	0
4.681	1	2	1	165.223	0
4.682	1	1	2	23.777	0
4.721	1	2	1	66.8372	0
4.722	1	1	2	41.9462	0
4.761	1	2	1	54.0639	0
4.762	1	1	2	43.9878	0
4.801	1	2	1	49.5105	0
4.802	1	1	2	44.252	0
4.841	1	2	1	89.7341	0
4.842	1	1	2	68.1708	0
4.881	1	2	1	84.185	0
4.882	1	1	2	143.906	0
4.921	1	2	1	67.7636	0
4.922	1	1	2	58.5645	0
4.961	1	2	1	89.2072	0
4.962	1	1	2	108.679	0
5.001	1	2	1	121.658	0
5.002	1	1	2	26.658	0
5.041	1	2	1	90.66	0
5.042	1	1	2	129.49	0
5.081	1	2	1	40.6088	0
5.082	1	1	2	45.8659	0
5.121	1	2	1	133.014	0
5.122	1	1	2	96.6216	0
5.161	1	2	1	92.9538	0
5.162	1	1	2	91.6568	0
5.201	1	2	1	99.865	0
5.202	1	1	2	105.66	0
5.241	1	2	1	171.295	0
5.242	1	1	2	125.899	0
5.281	1	2	1	33.68	0
5.282	1	1	2	83.5619	0
5.321	1	2	1	70.3247	0
5.322	1	1	2	116.365	0
5.361	1	2	1	72.8125	0
5.362	1	1	2	58.9583	0
5.401	1	2	1	78.7199	0
5.402	1	1	2	31.2871	0
5.441	1	2	1	49.2204	0
5.442	1	1	2	128.601	0
5.481	1	2	1	29.4944	0
5.482	1	1	2	102.534	0
5.521	1	2	1	98.9927	0
5.522	1	1	2	155.261	0
5.561	1	2	1	34.8025	0
5.562	1	1	2	61.9713	0
5.601	1	2	1	83.256	0
5.602	1	1	2	103.83	0
5.641	1	2	1	19.8219	0
5.642	1	1	2	46.0991	0
5.681	1	2	1	58.3413	0
5.682	1	1	2	190.863	0
5.721	1	2	1	87.7384	0
5.722	1	1	2	40.8975	0
5.761	1	2	1	155.133	0
5.762	1	1	2	35.5167	0
5.801	1	2	1	34.6248	0
5.802	1	1	2	180.08	0
5.841	1	2	1	95.4821	0
5.842	1	1	2	71.9042	0
5.881	1	2	1	171.486	0
5.882	1	1	2	241.816	0
5.921	1	2	1	76.8996	0
5.922	1	1	2	49.1856	0
5.961	1	2	1	82.7461	0
5.962	1	1	2	11.5178	0
6.001	1	2	1	36.1725	0
6.002	1	1	2	36.6792	0
6.041	1	2	1	47.4474	0
6.042	1	1	2	66.3101	0
6.081	1	2	1	51.3403	0
6.082	1	1	2	27.9287	0
6.121	1	2	1	44.6941	0
6.122	1	1	2	63.1722	0
6.161	1	2	1	96.6899	0
6.162	1	1	2	108.447	0
6.201	1	2	1	236.558	0
6.202	1	1	2	33.0034	0
6.241	1	2	1	26.0515	0
6.242	1	1	2	31.6503	0
6.281	1	2	1	76.2031	0
6.282	1	1	2	51.7168	0
6.321	1	2	1	64.4551	0
6.322	1	1	2	69.7674	0
6.361	1	2	1	108.087	0
6.362	1	1	2	87.0216	0
6.401	1	2	1	100.219	0
6.402	1	1	2	98.1728	0
6.441	1	2	1	76.1973	0
6.442	1	1	2	96.1818	0
6.481	1	2	1	53.8961	0
6.482	1	1	2	71.6617	0
6.521	1	2	1	60.5147	0
6.522	1	1	2	65.8945	0
6.561	1	2	1	37.7198	0
6.562	1	1	2	30.4291	0
6.601	1	2	1	72.0336	0
6.602	1	1	2	99.2604	0
6.641	1	2	1	95.6696	0
6.642	1	1	2	186.8	0
6.681	1	2	1	59.7678	0
6.682	1	1	2	98.2697	0
6.721	1	2	1	85.8412	0
6.722	1	1	2	44.8572	0
6.761	1	2	1	97.6747	0
6.762	1	1	2	96.4883	0
6.801	1	2	1	35.6094	0
6.802	1	1	2	102.524	0
6.841	1	2	1	87.7522	0
6.842	1	1	2	197.544	0
6.881	1	2	1	22.5027	0
6.882	1	1	2	113.201	0
6.921	1	2	1	56.2427	0
6.922	1	1	2	184.85	0
6.961	1	2	1	68.2074	0
6.962	1	1	2	27.2725	0
7.001	1	2	1	84.7755	0
7.002	1	1	2	68.7964	0
7.041	1	2	1	86.6934	0
7.042	1	1	2	76.1323	0
7.081	1	2	1	172.857	0
7.082	1	1	2	67.6473	0
7.121	1	2	1	62.9239	0
7.122	1	1	2	44.3121	0
7.161	1	2	1	65.901	0
7.162	1	1	2	82.4001	0
7.201	1	2	1	107.206	0
7.202	1	1	2	138.511	0
7.241	1	2	1	59.2529	0
7.242	1	1	2	57.3478	0
7.281	1	2	1	49.0397	0
7.282	1	1	2	106.984	0
7.321	1	2	1	187.75	0
7.322	1	1	2	161.902	0
7.361	1	2	1	95.3505	0
7.362	1	1	2	67.9759	0
7.401	1	2	1	28.6413	0
7.402	1	1	2	32.0909	0
7.441	1	2	1	59.2442	0
7.442	1	1	2	88.2907	0
7.481	1	2	1	98.645	0
7.482	1	1	2	111.067	0
7.521	1	2	1	44.9772	0
7.522	1	1	2	62.8801	0
7.561	1	2	1	34.4286	0
7.562	1	1	2	79.2231	0
7.601	1	2	1	59.7803	0
7.602	1	1	2	53.2891	0
7.641	1	2	1	110.391	0
7.642	1	1	2	82.56	0
7.681	1	2	1	40.3197	0
7.682	1	1	2	19.113	0
7.721	1	2	1	39.5755	0
7.722	1	1	2	148.697	0
7.761	1	2	1	60.4043	0
7.762	1	1	2	47.5211	0
7.801	1	2	1	63.5957	0
7.802	1	1	2	74.9797	0
7.841	1	2	1	57.0934	0
7.842	1	1	2	29.7369	0
7.881	1	2	1	15.9661	0
7.882	1	1	2	90.9653	0
7.921	1	2	1	85.6229	0
7.922	1	1	2	77.6815	0
7.961	1	2	1	68.9597	0
7.962	1	1	2	54.85	0
8.001	1	2	1	87.1741	0
8.002	1	1	2	210.618	0
8.041	1	2	1	63.6138	0
8.042	1	1	2	48.5491	0
8.081	1	2	1	134.382	0
8.082	1	1	2	103.891	0
8.121	1	2	1	123.772	0
8.122	1	1	2	73.6424	0
8.161	1	2	1	139.18	0
8.162	1	1	2	58.7721	0
8.201	1	2	1	51.0735	0
8.202	1	1	2	71.3212	0
8.241	1	2	1	48.885	0
8.242	1	1	2	41.4634	0
8.281	1	2	1	55.353	0
8.282	1	1	2	57.6635	0
8.321	1	2	1	97.8163	0
8.322	1	1	2	99.7824	0
8.361	1	2	1	177.471	0
8.362	1	1	2	22.1663	0
8.401	1	2	1	97.8653	0
8.402	1	1	2	116.038	0
8.441	1	2	1	51.6086	0
8.442	1	1	2	46.9066	0
8.481	1	2	1	44.2768	0
8.482	1	1	2	93.4336	0
8.521	1	2	1	80.8823	0
8.522	1	1	2	72.2268	0
8.561	1	2	1	44.3236	0
8.562	1	1	2	53.9744	0
8.601	1	2	1	66.8542	0
8.602	1	1	2	163.243	0
