% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	3.52324e-13	742.764	0
0.000214285	1	2	0	2.3388e-12	4930.62	0
0.00121429	1	1	0	6.43433e-13	1356.48	0
0.00121429	1	2	0	5.76965e-12	12163.5	0
0.00221428	1	1	0	6.69211e-13	1410.82	0
0.00221428	1	2	0	5.72804e-12	12075.8	0
0.00321428	1	1	0	6.99452e-13	1474.58	0
0.00321428	1	2	0	5.66676e-12	11946.6	0
0.00421428	1	1	0	7.34174e-13	1547.77	0
0.00421428	1	2	0	5.58687e-12	11778.2	0
0.00521428	1	1	0	7.72887e-13	1629.39	0
0.00521428	1	2	0	5.48823e-12	11570.2	0
0.00621428	1	1	0	8.15285e-13	1718.77	0
0.00621428	1	2	0	5.37119e-12	11323.5	0
0.00721428	1	1	0	8.61524e-13	1816.25	0
0.00721428	1	2	0	5.235e-12	11036.3	0
0.00821428	1	1	0	9.11479e-13	1921.57	0
0.00821428	1	2	0	5.08174e-12	10713.3	0
0.00921428	1	1	0	9.6492e-13	2034.23	0
0.00921428	1	2	0	4.91413e-12	10359.9	0
0.0102143	1	1	0	1.02149e-12	2153.49	0
0.0102143	1	2	0	4.73382e-12	9979.76	0
0.0112143	1	1	0	1.08034e-12	2277.56	0
0.0112143	1	2	0	4.54254e-12	9576.52	0
0.0122143	1	1	0	1.14165e-12	2406.8	0
0.0122143	1	2	0	4.34201e-12	9153.75	0
0.0132143	1	1	0	1.20513e-12	2540.63	0
0.0132143	1	2	0	4.13359e-12	8714.38	0
0.0142143	1	1	0	1.27038e-12	2678.19	0
0.0142143	1	2	0	3.92125e-12	8266.71	0
0.0152143	1	1	0	1.3369e-12	2818.43	0
0.0152143	1	2	0	3.70746e-12	7816.02	0
0.0162143	1	1	0	1.40346e-12	2958.75	0
0.0162143	1	2	0	3.49483e-12	7367.76	0
0.0172143	1	1	0	1.47051e-12	3100.12	0
0.0172143	1	2	0	3.28572e-12	6926.9	0
0.0182143	1	1	0	1.53795e-12	3242.28	0
0.0182143	1	2	0	3.08153e-12	6496.43	0
0.0192143	1	1	0	1.6054e-12	3384.48	0
0.0192143	1	2	0	2.88684e-12	6086	0
0.0202143	1	1	0	1.67235e-12	3525.63	0
0.0202143	1	2	0	2.70452e-12	5701.63	0
0.0212143	1	1	2	1.73747e-12	3662.91	0
0.0212143	1	2	1	2.53708e-12	5348.63	0
0.0222143	1	1	2	1.80114e-12	3797.13	0
0.0222143	1	2	1	2.38696e-12	5032.15	0
0.0232143	1	1	2	1.86341e-12	3928.4	0
0.0232143	1	2	1	2.25509e-12	4754.14	0
0.0242143	1	1	2	1.92411e-12	4056.38	0
0.0242143	1	2	1	2.14485e-12	4521.74	0
0.0252143	1	1	2	1.98314e-12	4180.82	0
0.0252143	1	2	1	2.05817e-12	4339	0
0.0262143	1	1	2	2.03968e-12	4300.02	0
0.0262143	1	2	1	1.99654e-12	4209.08	0
0.0272143	1	1	2	2.09409e-12	4414.72	0
0.0272143	1	2	1	1.96151e-12	4135.24	0
0.0282143	1	1	2	2.14672e-12	4525.68	0
0.0282143	1	2	1	1.95353e-12	4118.4	0
0.0292143	1	1	2	2.19783e-12	4633.43	0
0.0292143	1	2	1	1.97383e-12	4161.21	0
0.0302143	1	1	2	2.2476e-12	4738.35	0
0.0302143	1	2	1	2.02289e-12	4264.63	0
0.0312143	1	1	2	2.29572e-12	4839.81	0
0.0312143	1	2	1	2.10077e-12	4428.81	0
0.0322143	1	1	2	2.34218e-12	4937.74	0
0.0322143	1	2	1	2.20713e-12	4653.03	0
0.0332143	1	1	2	2.38789e-12	5034.11	0
0.0332143	1	2	1	2.34095e-12	4935.15	0
0.0342143	1	1	2	2.4335e-12	5130.26	0
0.0342143	1	2	1	2.50131e-12	5273.22	0
0.0352143	1	1	2	2.47958e-12	5227.42	0
0.0352143	1	2	1	2.68717e-12	5665.05	0
0.0362143	1	1	2	2.52627e-12	5325.85	0
0.0362143	1	2	1	2.89704e-12	6107.49	0
0.0372143	1	1	2	2.57337e-12	5425.14	0
0.0372143	1	2	1	3.12899e-12	6596.49	0
0.0382143	1	1	2	2.62192e-12	5527.5	0
0.0382143	1	2	1	3.38013e-12	7125.94	0
0.0392143	1	1	2	2.67275e-12	5634.64	0
0.0392143	1	2	1	3.6481e-12	7690.86	0
0.0402143	1	1	2	2.72635e-12	5747.65	0
0.0402143	1	2	1	3.93072e-12	8286.7	0
0.0412143	1	1	2	2.78324e-12	5867.59	0
0.0412143	1	2	1	4.2252e-12	8907.5	0
0.0422143	1	1	2	2.8431e-12	5993.77	0
0.0422143	1	2	1	4.52851e-12	9546.94	0
0.0432143	1	1	2	2.90673e-12	6127.92	0
0.0432143	1	2	1	4.83634e-12	10195.9	0
0.0442143	1	1	2	2.97529e-12	6272.46	0
0.0442143	1	2	1	5.14526e-12	10847.2	0
0.0452143	1	1	2	3.04896e-12	6427.76	0
0.0452143	1	2	1	5.45324e-12	11496.4	0
0.0462143	1	1	2	3.12808e-12	6594.56	0
0.0462143	1	2	1	5.75722e-12	12137.3	0
0.0472143	1	1	2	3.21215e-12	6771.8	0
0.0472143	1	2	1	6.05365e-12	12762.2	0
0.0482143	1	1	2	3.30122e-12	6959.59	0
0.0482143	1	2	1	6.33775e-12	13361.1	0
0.0492143	1	1	2	3.39611e-12	7159.62	0
0.0492143	1	2	1	6.60573e-12	13926.1	0
0.0502143	1	1	2	3.49695e-12	7372.23	0
0.0502143	1	2	1	6.85643e-12	14454.6	0
0.0512143	1	1	2	3.60375e-12	7597.37	0
0.0512143	1	2	1	7.08776e-12	14942.3	0
0.0522143	1	1	2	3.71581e-12	7833.61	0
0.0522143	1	2	1	7.2972e-12	15383.8	0
0.0532143	1	1	2	3.83257e-12	8079.77	0
0.0532143	1	2	1	7.48111e-12	15771.6	0
0.0542143	1	1	2	3.9544e-12	8336.61	0
0.0542143	1	2	1	7.63702e-12	16100.2	0
0.0552143	1	1	2	4.08121e-12	8603.94	0
0.0552143	1	2	1	7.76422e-12	16368.4	0
0.0562143	1	1	2	4.2125e-12	8880.73	0
0.0562143	1	2	1	7.86235e-12	16575.3	0
0.0572143	1	1	2	4.3473e-12	9164.91	0
0.0572143	1	2	1	7.93054e-12	16719.1	0
0.0582143	1	1	2	4.4842e-12	9453.52	0
0.0582143	1	2	1	7.9675e-12	16797	0
0.0592143	1	1	2	4.62306e-12	9746.26	0
0.0592143	1	2	1	7.97138e-12	16805.1	0
0.0602143	1	1	2	4.76385e-12	10043.1	0
0.0602143	1	2	1	7.94359e-12	16746.6	0
0.0612143	1	1	2	4.90565e-12	10342	0
0.0612143	1	2	1	7.88615e-12	16625.5	0
0.0622143	1	1	2	5.04708e-12	10640.2	0
0.0622143	1	2	1	7.80061e-12	16445.1	0
0.0632143	1	1	2	5.18589e-12	10932.8	0
0.0632143	1	2	1	7.68782e-12	16207.3	0
0.0642143	1	1	2	5.32129e-12	11218.3	0
0.0642143	1	2	1	7.54705e-12	15910.6	0
0.0652143	1	1	2	5.45319e-12	11496.3	0
0.0652143	1	2	1	7.38008e-12	15558.6	0
0.0662143	1	1	2	5.58052e-12	11764.8	0
0.0662143	1	2	1	7.19136e-12	15160.7	0
0.0672143	1	1	2	5.70221e-12	12021.3	0
0.0672143	1	2	1	6.98326e-12	14722	0
0.0682143	1	1	2	5.81586e-12	12260.9	0
0.0682143	1	2	1	6.75853e-12	14248.2	0
0.0692143	1	1	2	5.92003e-12	12480.5	0
0.0692143	1	2	1	6.51865e-12	13742.5	0
0.0702143	1	1	2	6.01543e-12	12681.6	0
0.0702143	1	2	1	6.26537e-12	13208.6	0
0.0712143	1	1	2	6.1012e-12	12862.5	0
0.0712143	1	2	1	6.00475e-12	12659.1	0
0.0722143	1	1	2	6.1765e-12	13021.2	0
0.0722143	1	2	1	5.73927e-12	12099.5	0
0.0732143	1	1	2	6.23943e-12	13153.9	0
0.0732143	1	2	1	5.47198e-12	11536	0
0.0742143	1	1	2	6.28814e-12	13256.6	0
0.0742143	1	2	1	5.20543e-12	10974	0
0.0752143	1	1	2	6.32362e-12	13331.4	0
0.0752143	1	2	1	4.9417e-12	10418	0
0.0762143	1	1	2	6.34587e-12	13378.3	0
0.0762143	1	2	1	4.68502e-12	9876.89	0
0.0772143	1	1	2	6.35473e-12	13396.9	0
0.0772143	1	2	1	4.43856e-12	9357.3	0
0.0782143	1	1	2	6.34899e-12	13384.9	0
0.0782143	1	2	1	4.20509e-12	8865.11	0
0.0792143	1	1	2	6.32692e-12	13338.3	0
0.0792143	1	2	1	3.98692e-12	8405.16	0
0.0802143	1	1	2	6.28972e-12	13259.9	0
0.0802143	1	2	1	3.78578e-12	7981.14	0
0.0812143	1	1	2	6.23814e-12	13151.2	0
0.0812143	1	2	1	3.60418e-12	7598.29	0
0.0822143	1	1	2	6.17228e-12	13012.3	0
0.0822143	1	2	1	3.44422e-12	7261.06	0
0.0832143	1	1	2	6.09206e-12	12843.2	0
0.0832143	1	2	1	3.30726e-12	6972.31	0
0.0842143	1	1	2	5.99643e-12	12641.6	0
0.0842143	1	2	1	3.19419e-12	6733.95	0
0.0852143	1	1	2	5.88599e-12	12408.8	0
0.0852143	1	2	1	3.1053e-12	6546.54	0
0.0862143	1	1	2	5.7632e-12	12149.9	0
0.0862143	1	2	1	3.04135e-12	6411.73	0
0.0872143	1	1	2	5.62875e-12	11866.5	0
0.0872143	1	2	1	3.00249e-12	6329.8	0
0.0882143	1	1	2	5.48368e-12	11560.6	0
0.0882143	1	2	1	2.98832e-12	6299.92	0
0.0892143	1	1	2	5.32769e-12	11231.8	0
0.0892143	1	2	1	2.99822e-12	6320.8	0
0.0902143	1	1	2	5.16082e-12	10880	0
0.0902143	1	2	1	3.03039e-12	6388.61	0
0.0912143	1	1	2	4.98639e-12	10512.2	0
0.0912143	1	2	1	3.08424e-12	6502.14	0
0.0922143	1	1	2	4.80556e-12	10131	0
0.0922143	1	2	1	3.15812e-12	6657.89	0
0.0932143	1	1	2	4.61952e-12	9738.8	0
0.0932143	1	2	1	3.25026e-12	6852.14	0
0.0942143	1	1	2	4.42892e-12	9336.99	0
0.0942143	1	2	1	3.35852e-12	7080.38	0
0.0952143	1	1	2	4.23374e-12	8925.5	0
0.0952143	1	2	1	3.47918e-12	7334.75	0
0.0962143	1	1	2	4.03723e-12	8511.23	0
0.0962143	1	2	1	3.61052e-12	7611.63	0
0.0972143	1	1	2	3.84095e-12	8097.43	0
0.0972143	1	2	1	3.75025e-12	7906.22	0
0.0982143	1	1	2	3.64586e-12	7686.16	0
0.0982143	1	2	1	3.89565e-12	8212.74	0
0.0992143	1	1	2	3.4527e-12	7278.92	0
0.0992143	1	2	1	4.04391e-12	8525.3	0
0.100214	1	1	2	3.26178e-12	6876.43	0
0.100214	1	2	1	4.19079e-12	8834.97	0
0.101214	1	1	2	3.07511e-12	6482.89	0
0.101214	1	2	1	4.33397e-12	9136.82	0
0.102214	1	1	2	2.89417e-12	6101.44	0
0.102214	1	2	1	4.47181e-12	9427.4	0
0.103214	1	1	2	2.71983e-12	5733.9	0
0.103214	1	2	1	4.60126e-12	9700.31	0
0.104214	1	1	2	2.55254e-12	5381.23	0
0.104214	1	2	1	4.7199e-12	9950.43	0
0.105214	1	1	2	2.3926e-12	5044.05	0
0.105214	1	2	1	4.82427e-12	10170.5	0
0.106214	1	1	2	2.24094e-12	4724.32	0
0.106214	1	2	1	4.91144e-12	10354.2	0
0.107214	1	1	2	2.09848e-12	4423.99	0
0.107214	1	2	1	4.98109e-12	10501.1	0
0.108214	1	1	2	1.96559e-12	4143.82	0
0.108214	1	2	1	5.03195e-12	10608.3	0
0.109214	1	1	2	1.84239e-12	3884.09	0
0.109214	1	2	1	5.06282e-12	10673.4	0
0.110214	1	1	2	1.72859e-12	3644.19	0
0.110214	1	2	1	5.0728e-12	10694.4	0
0.111214	1	1	2	1.62457e-12	3424.9	0
0.111214	1	2	1	5.05896e-12	10665.2	0
0.112214	1	1	2	1.53064e-12	3226.88	0
0.112214	1	2	1	5.02317e-12	10589.8	0
0.113214	1	1	2	1.44678e-12	3050.07	0
0.113214	1	2	1	4.96629e-12	10469.9	0
0.114214	1	1	2	1.37278e-12	2894.08	0
0.114214	1	2	1	4.88852e-12	10305.9	0
0.115214	1	1	2	1.30781e-12	2757.11	0
0.115214	1	2	1	4.79072e-12	10099.7	0
0.116214	1	1	2	1.25154e-12	2638.48	0
0.116214	1	2	1	4.67139e-12	9848.15	0
0.117214	1	1	2	1.20403e-12	2538.33	0
0.117214	1	2	1	4.53424e-12	9559.02	0
0.118214	1	1	2	1.16484e-12	2455.7	0
0.118214	1	2	1	4.38206e-12	9238.2	0
0.119214	1	1	2	1.13362e-12	2389.89	0
0.119214	1	2	1	4.21686e-12	8889.93	0
0.120214	1	1	2	1.1095e-12	2339.03	0
0.120214	1	2	1	4.04048e-12	8518.08	0
0.121214	1	1	2	1.09166e-12	2301.41	0
0.121214	1	2	1	3.8539e-12	8124.74	0
0.122214	1	1	2	1.08019e-12	2277.25	0
0.122214	1	2	1	3.6605e-12	7717.02	0
0.123214	1	1	2	1.07445e-12	2265.13	0
0.123214	1	2	1	3.46374e-12	7302.2	0
0.124214	1	1	2	1.07384e-12	2263.86	0
0.124214	1	2	1	3.26646e-12	6886.3	0
0.125214	1	1	2	1.07772e-12	2272.02	0
0.125214	1	2	1	3.07152e-12	6475.33	0
0.126214	1	1	2	1.08509e-12	2287.57	0
0.126214	1	2	1	2.88099e-12	6073.66	0
0.127214	1	1	2	1.09573e-12	2310	0
0.127214	1	2	1	2.69799e-12	5687.86	0
0.128214	1	1	2	1.10946e-12	2338.95	0
0.128214	1	2	1	2.52608e-12	5325.45	0
0.129214	1	1	2	1.12574e-12	2373.27	0
0.129214	1	2	1	2.36797e-12	4992.11	0
0.130214	1	1	2	1.14442e-12	2412.64	0
0.130214	1	2	1	2.22609e-12	4693.02	0
0.131214	1	1	2	1.16449e-12	2454.97	0
0.131214	1	2	1	2.10253e-12	4432.53	0
0.132214	1	1	2	1.1853e-12	2498.83	0
