% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1020	1	1	2	2	0	26	7708	0	1	1	0
1020	1	1	2	2	1	26	7708	0	1	1	0
1040	1	1	2	2	0	24	6882	0	1	1	0
1040	1	1	2	2	1	24	6882	0	1	1	0
1060	1	1	2	2	0	26	7708	0	1	1	0
1060	1	1	2	2	1	26	7708	0	1	1	0
1070	1	2	1	2	0	24	6882	0	1	1	0
1070	1	2	1	2	1	24	6882	0	1	1	0
1080	1	1	2	2	0	26	7708	0	1	1	0
1080	1	1	2	2	1	26	7708	0	1	1	0
1085	1	1	2	2	0	26	7708	0	1	1	0
1085	1	1	2	2	1	26	7708	0	1	1	0
1090	1	2	1	2	0	26	7708	0	1	1	0
1090	1	2	1	2	1	26	7708	0	1	1	0
1110	1	2	1	2	0	22	5861	0	1	1	0
1110	1	2	1	2	1	22	5861	0	1	1	0
1119	1	1	2	2	0	24	6882	0	1	1	0
1119	1	1	2	2	1	24	6882	0	1	1	0
1130	1	2	1	2	0	20	4904	0	1	1	0
1130	1	2	1	2	1	20	4904	0	1	1	0
1131	1	1	2	2	0	26	7708	0	1	1	0
1131	1	1	2	2	1	26	7708	0	1	1	0
1164	1	2	1	2	0	24	6882	0	1	1	0
1164	1	2	1	2	1	24	6882	0	1	1	0
1165	1	1	2	2	0	22	5861	0	1	1	0
1165	1	1	2	2	1	22	5861	0	1	1	0
1174	1	2	1	2	0	26	7708	0	1	1	0
1174	1	2	1	2	1	26	7708	0	1	1	0
1179	1	2	1	2	0	26	7708	0	1	1	0
1179	1	2	1	2	1	26	7708	0	1	1	0
1184	1	2	1	2	0	26	7708	0	1	1	0
1184	1	2	1	2	1	26	7708	0	1	1	0
1185	1	1	2	2	0	26	7708	0	1	1	0
1185	1	1	2	2	1	26	7708	0	1	1	0
1190	1	2	1	2	0	26	7708	0	1	1	0
1190	1	2	1	2	1	26	7708	0	1	1	0
1204	1	2	1	2	0	26	7708	0	1	1	0
1204	1	2	1	2	1	26	7708	0	1	1	0
1205	1	1	2	2	0	24	6882	0	1	1	0
1205	1	1	2	2	1	24	6882	0	1	1	0
1213	1	2	1	2	0	26	7708	0	1	1	0
1213	1	2	1	2	1	26	7708	0	1	1	0
1214	1	1	2	2	0	24	3182	0	1	1	0
1214	1	1	2	2	1	24	3182	0	1	1	0
1214	1	2	1	2	0	26	3662	0	1	1	0
1214	1	2	1	2	1	26	3662	0	1	1	0
1224	1	2	1	2	0	24	6882	0	1	1	0
1224	1	2	1	2	1	24	6882	0	1	1	0
1244	1	2	1	2	0	26	7708	0	1	1	0
1244	1	2	1	2	1	26	7708	0	1	1	0
1248	1	1	2	2	0	22	5861	0	1	1	0
1248	1	1	2	2	1	22	5861	0	1	1	0
1249	1	2	1	2	0	24	6882	0	1	1	0
1249	1	2	1	2	1	24	6882	0	1	1	0
1263	1	1	2	2	0	26	3662	0	1	1	0
1263	1	1	2	2	1	26	3662	0	1	1	0
1263	1	2	1	2	0	22	2769	0	1	1	0
1263	1	2	1	2	1	22	2769	0	1	1	0
1290	1	2	1	2	0	24	6882	0	1	1	0
1290	1	2	1	2	1	24	6882	0	1	1	0
1297	1	1	2	2	0	24	3182	0	1	1	0
1297	1	1	2	2	1	24	3182	0	1	1	0
1297	1	2	1	2	0	24	3182	0	1	1	0
1297	1	2	1	2	1	24	3182	0	1	1	0
1298	1	1	2	2	0	24	6882	0	1	1	0
1298	1	1	2	2	1	24	6882	0	1	1	0
1305	1	2	1	2	0	24	6882	0	1	1	0
1305	1	2	1	2	1	24	6882	0	1	1	0
1312	1	1	2	2	0	20	4904	0	1	1	0
1312	1	1	2	2	1	20	4904	0	1	1	0
1317	1	2	1	2	0	26	7708	0	1	1	0
1317	1	2	1	2	1	26	7708	0	1	1	0
1324	1	2	1	2	0	26	7708	0	1	1	0
1324	1	2	1	2	1	26	7708	0	1	1	0
1325	1	2	1	2	0	26	7708	0	1	1	0
1325	1	2	1	2	1	26	7708	0	1	1	0
1326	1	2	1	2	0	26	7708	0	1	1	0
1326	1	2	1	2	1	26	7708	0	1	1	0
1327	1	2	1	2	0	26	7708	0	1	1	0
1327	1	2	1	2	1	26	7708	0	1	1	0
1328	1	2	1	2	0	26	7708	0	1	1	0
1328	1	2	1	2	1	26	7708	0	1	1	0
1329	1	2	1	2	0	26	7708	0	1	1	0
1329	1	2	1	2	1	26	7708	0	1	1	0
1342	1	2	1	2	0	22	5861	0	1	1	0
1342	1	2	1	2	1	22	5861	0	1	1	0
1346	1	1	2	2	0	22	2769	0	1	1	0
1346	1	1	2	2	1	22	2769	0	1	1	0
1346	1	2	1	2	0	24	3182	0	1	1	0
1346	1	2	1	2	1	24	3182	0	1	1	0
1347	1	1	2	2	0	22	2769	0	1	1	0
1347	1	1	2	2	1	22	2769	0	1	1	0
1347	1	2	1	2	0	24	3182	0	1	1	0
1347	1	2	1	2	1	24	3182	0	1	1	0
1348	1	1	2	2	0	22	2769	0	1	1	0
1348	1	1	2	2	1	22	2769	0	1	1	0
1348	1	2	1	2	0	24	3182	0	1	1	0
1348	1	2	1	2	1	24	3182	0	1	1	0
1349	1	1	2	2	0	22	2769	0	1	1	0
1349	1	1	2	2	1	22	2769	0	1	1	0
1349	1	2	1	2	0	24	3182	0	1	1	0
1349	1	2	1	2	1	24	3182	0	1	1	0
1361	1	1	2	2	0	22	2769	0	1	1	0
1361	1	1	2	2	1	22	2769	0	1	1	0
1361	1	2	1	2	0	26	3662	0	1	0	0
1361	1	2	1	2	1	26	3662	0	1	0	0
1369	1	2	1	2	0	24	6882	0	1	1	0
1369	1	2	1	2	1	24	6882	0	1	1	0
1370	1	2	1	2	0	24	6882	0	1	1	0
1370	1	2	1	2	1	24	6882	0	1	1	0
1381	1	2	1	2	0	24	6882	0	1	1	0
1381	1	2	1	2	1	24	6882	0	1	1	0
1395	1	1	2	2	0	24	6882	0	1	1	0
1395	1	1	2	2	1	24	6882	0	1	1	0
1396	1	1	2	2	0	24	6882	0	1	1	0
1396	1	1	2	2	1	24	6882	0	1	1	0
1404	1	1	2	2	0	24	6882	0	1	1	0
1404	1	1	2	2	1	24	6882	0	1	1	0
1404	1	2	1	2	0	26	7708	0	1	1	0
1404	1	2	1	2	1	26	7708	0	1	1	0
1405	1	2	1	2	0	26	7708	0	1	1	0
1405	1	2	1	2	1	26	7708	0	1	1	0
1406	1	2	1	2	0	26	7708	0	1	1	0
1406	1	2	1	2	1	26	7708	0	1	1	0
1407	1	2	1	2	0	26	7708	0	1	1	0
1407	1	2	1	2	1	26	7708	0	1	1	0
1408	1	2	1	2	0	26	7708	0	1	1	0
1408	1	2	1	2	1	26	7708	0	1	1	0
1409	1	2	1	2	0	26	7708	0	1	1	0
1409	1	2	1	2	1	26	7708	0	1	1	0
1410	1	2	1	2	0	26	7708	0	1	1	0
1410	1	2	1	2	1	26	7708	0	1	1	0
1411	1	1	2	2	0	26	3662	0	1	1	0
1411	1	1	2	2	1	26	3662	0	1	1	0
1411	1	2	1	2	0	26	3662	0	1	1	0
1411	1	2	1	2	1	26	3662	0	1	1	0
1412	1	2	1	2	0	26	7708	0	1	1	0
1412	1	2	1	2	1	26	7708	0	1	1	0
1413	1	2	1	2	0	26	7708	0	1	1	0
1413	1	2	1	2	1	26	7708	0	1	1	0
1414	1	2	1	2	0	26	7708	0	1	1	0
1414	1	2	1	2	1	26	7708	0	1	1	0
1415	1	2	1	2	0	26	7708	0	1	1	0
1415	1	2	1	2	1	26	7708	0	1	1	0
1416	1	2	1	2	0	26	7708	0	1	1	0
1416	1	2	1	2	1	26	7708	0	1	1	0
1417	1	2	1	2	0	26	7708	0	1	1	0
1417	1	2	1	2	1	26	7708	0	1	1	0
1437	1	2	1	2	0	26	7708	0	1	1	0
1437	1	2	1	2	1	26	7708	0	1	1	0
1442	1	2	1	2	0	26	7708	0	1	1	0
1442	1	2	1	2	1	26	7708	0	1	1	0
1443	1	2	1	2	0	26	7708	0	1	1	0
1443	1	2	1	2	1	26	7708	0	1	1	0
1444	1	2	1	2	0	24	6882	0	1	1	0
1444	1	2	1	2	1	24	6882	0	1	1	0
1445	1	1	2	2	0	22	2769	0	1	1	0
1445	1	1	2	2	1	22	2769	0	1	1	0
1445	1	2	1	2	0	24	3182	0	1	1	0
1445	1	2	1	2	1	24	3182	0	1	1	0
1446	1	1	2	2	0	24	3182	0	1	1	0
1446	1	1	2	2	1	24	3182	0	1	1	0
1446	1	2	1	2	0	24	3182	0	1	1	0
1446	1	2	1	2	1	24	3182	0	1	1	0
1447	1	1	2	2	0	24	3182	0	1	1	0
1447	1	1	2	2	1	24	3182	0	1	1	0
1447	1	2	1	2	0	24	3182	0	1	1	0
1447	1	2	1	2	1	24	3182	0	1	1	0
1448	1	1	2	2	0	24	3182	0	1	1	0
1448	1	1	2	2	1	24	3182	0	1	1	0
1448	1	2	1	2	0	24	3182	0	1	1	0
1448	1	2	1	2	1	24	3182	0	1	1	0
1449	1	1	2	2	0	24	3182	0	1	1	0
1449	1	1	2	2	1	24	3182	0	1	1	0
1449	1	2	1	2	0	24	3182	0	1	1	0
1449	1	2	1	2	1	24	3182	0	1	1	0
1450	1	1	2	2	0	26	3662	0	1	1	0
1450	1	1	2	2	1	26	3662	0	1	1	0
1450	1	2	1	2	0	22	2769	0	1	1	0
