% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.076	1	1	108	7	2	6	645	0
1.121	1	2	113	2	1	2	277	0
1.122	1	1	113	3	2	2	573	0
1.125	1	1	113	6	2	2	573	0
1.17	1	2	118	1	1	2	573	0
1.171	1	2	118	2	1	2	277	0
1.172	1	2	118	3	1	2	277	0
1.18	1	2	119	1	1	2	277	0
1.181	1	2	119	2	1	2	277	0
1.182	1	2	119	3	1	2	277	0
1.205	1	1	121	6	2	14	1620	0
1.205	1	2	121	6	1	2	277	0
1.211	1	1	122	2	2	14	1620	0
1.211	1	2	122	2	1	2	277	0
1.254	1	1	126	5	2	8	871	0
1.281	1	2	129	2	1	0	349	0
1.282	1	2	129	3	1	0	349	0
1.283	1	2	129	4	1	0	349	0
1.284	1	2	129	5	1	0	349	0
1.285	1	2	129	6	1	0	349	0
1.286	1	2	129	7	1	0	349	0
1.287	1	2	129	8	1	0	349	0
1.295	1	2	130	6	1	0	349	0
1.296	1	2	130	7	1	0	349	0
1.297	1	2	130	8	1	0	349	0
1.298	1	2	130	9	1	0	349	0
1.299	1	2	130	10	1	0	349	0
1.3	1	2	131	1	1	0	349	0
1.301	1	2	131	2	1	0	349	0
1.303	1	1	131	4	2	12	1239	0
1.303	1	2	131	4	1	0	173	0
1.304	1	1	131	5	2	12	1239	0
1.304	1	2	131	5	1	0	173	0
1.305	1	2	131	6	1	0	349	0
1.306	1	2	131	7	1	0	349	0
1.307	1	2	131	8	1	0	349	0
1.308	1	2	131	9	1	0	349	0
1.309	1	2	131	10	1	0	349	0
1.31	1	2	132	1	1	0	349	0
1.352	1	1	136	3	2	14	1620	0
1.353	1	1	136	4	2	14	1620	0
1.354	1	1	136	5	2	14	1620	0
1.361	1	2	137	2	1	0	349	0
1.362	1	2	137	3	1	0	349	0
1.363	1	2	137	4	1	0	349	0
1.364	1	2	137	5	1	0	349	0
1.365	1	2	137	6	1	0	349	0
1.366	1	2	137	7	1	0	349	0
1.367	1	2	137	8	1	0	349	0
1.368	1	2	137	9	1	0	349	0
1.369	1	2	137	10	1	0	349	0
1.37	1	2	138	1	1	0	349	0
1.371	1	2	138	2	1	0	349	0
1.372	1	2	138	3	1	0	349	0
1.373	1	2	138	4	1	0	349	0
1.374	1	2	138	5	1	0	349	0
1.375	1	2	138	6	1	0	349	0
1.376	1	2	138	7	1	0	349	0
1.377	1	2	138	8	1	0	349	0
1.378	1	2	138	9	1	0	349	0
1.38	1	2	139	1	1	0	349	0
1.381	1	2	139	2	1	0	349	0
1.382	1	2	139	3	1	0	349	0
1.383	1	2	139	4	1	0	349	0
1.384	1	2	139	5	1	0	349	0
1.385	1	2	139	6	1	0	349	0
1.386	1	2	139	7	1	0	349	0
1.387	1	2	139	8	1	0	349	0
1.388	1	2	139	9	1	0	349	0
1.389	1	2	139	10	1	0	349	0
1.39	1	2	140	1	1	0	349	0
1.391	1	2	140	2	1	0	349	0
1.4	1	2	141	1	1	0	349	0
1.401	1	2	141	2	1	2	277	0
1.402	1	1	141	3	2	4	453	0
1.402	1	2	141	3	1	2	277	0
1.441	1	2	145	2	1	0	349	0
1.442	1	2	145	3	1	0	349	0
1.443	1	2	145	4	1	0	349	0
1.444	1	2	145	5	1	0	349	0
1.445	1	2	145	6	1	0	349	0
1.446	1	2	145	7	1	0	349	0
1.447	1	2	145	8	1	0	349	0
1.448	1	2	145	9	1	0	349	0
1.449	1	2	145	10	1	0	349	0
1.45	1	2	146	1	1	0	349	0
1.451	1	1	146	2	2	4	453	0
1.451	1	2	146	2	1	0	173	0
1.452	1	1	146	3	2	4	453	0
1.452	1	2	146	3	1	0	173	0
1.453	1	1	146	4	2	4	453	0
1.453	1	2	146	4	1	0	173	0
1.454	1	1	146	5	2	4	453	0
1.454	1	2	146	5	1	0	173	0
1.455	1	1	146	6	2	4	453	0
1.455	1	2	146	6	1	0	173	0
1.456	1	1	146	7	2	4	453	0
1.456	1	2	146	7	1	0	173	0
1.457	1	2	146	8	1	0	349	0
1.458	1	2	146	9	1	0	349	0
1.459	1	2	146	10	1	0	349	0
1.46	1	2	147	1	1	0	349	0
1.461	1	2	147	2	1	0	349	0
1.462	1	2	147	3	1	0	349	0
1.463	1	2	147	4	1	0	349	0
1.464	1	2	147	5	1	0	349	0
1.465	1	2	147	6	1	0	349	0
1.466	1	2	147	7	1	0	349	0
1.467	1	2	147	8	1	0	349	0
1.468	1	2	147	9	1	0	349	0
1.469	1	2	147	10	1	0	349	0
1.47	1	2	148	1	1	0	349	0
1.471	1	2	148	2	1	0	349	0
1.472	1	2	148	3	1	0	349	0
1.473	1	2	148	4	1	0	349	0
1.474	1	2	148	5	1	0	349	0
1.475	1	1	148	6	2	4	453	0
1.475	1	2	148	6	1	0	173	0
1.476	1	2	148	7	1	0	349	0
1.477	1	2	148	8	1	0	349	0
1.478	1	2	148	9	1	0	349	0
1.479	1	2	148	10	1	0	349	0
1.48	1	1	149	1	2	4	453	0
1.48	1	2	149	1	1	0	173	0
1.521	1	2	153	2	1	4	453	0
1.522	1	2	153	3	1	4	453	0
1.523	1	2	153	4	1	4	453	0
1.524	1	2	153	5	1	4	453	0
1.525	1	2	153	6	1	4	453	0
1.526	1	2	153	7	1	4	453	0
1.527	1	2	153	8	1	4	453	0
1.528	1	2	153	9	1	4	453	0
1.529	1	2	153	10	1	4	453	0
1.53	1	2	154	1	1	4	453	0
1.531	1	2	154	2	1	4	453	0
1.532	1	2	154	3	1	4	453	0
1.533	1	2	154	4	1	4	453	0
1.534	1	2	154	5	1	4	453	0
1.535	1	2	154	6	1	4	453	0
1.536	1	2	154	7	1	4	453	0
1.537	1	2	154	8	1	4	453	0
1.538	1	2	154	9	1	4	453	0
1.539	1	2	154	10	1	4	453	0
1.54	1	2	155	1	1	4	453	0
1.541	1	2	155	2	1	4	453	0
1.542	1	2	155	3	1	4	453	0
1.543	1	2	155	4	1	4	453	0
1.544	1	2	155	5	1	4	453	0
1.545	1	2	155	6	1	4	453	0
1.546	1	2	155	7	1	4	453	0
1.547	1	2	155	8	1	4	453	0
1.548	1	2	155	9	1	4	453	0
1.549	1	2	155	10	1	4	453	0
1.55	1	2	156	1	1	4	453	0
1.551	1	2	156	2	1	4	453	0
1.552	1	2	156	3	1	4	453	0
1.553	1	2	156	4	1	4	453	0
1.554	1	2	156	5	1	4	453	0
1.555	1	2	156	6	1	4	453	0
1.556	1	2	156	7	1	4	453	0
1.557	1	2	156	8	1	4	453	0
1.558	1	2	156	9	1	4	453	0
1.559	1	2	156	10	1	4	453	0
1.56	1	2	157	1	1	4	453	0
1.601	1	2	161	2	1	2	277	0
1.602	1	2	161	3	1	2	277	0
1.603	1	2	161	4	1	2	277	0
1.604	1	2	161	5	1	2	277	0
1.605	1	2	161	6	1	2	277	0
1.606	1	2	161	7	1	2	277	0
1.607	1	2	161	8	1	2	277	0
1.608	1	2	161	9	1	2	277	0
1.609	1	2	161	10	1	2	277	0
1.61	1	2	162	1	1	2	277	0
1.611	1	2	162	2	1	2	277	0
1.612	1	2	162	3	1	2	277	0
1.613	1	2	162	4	1	2	277	0
1.614	1	2	162	5	1	2	277	0
1.615	1	2	162	6	1	2	277	0
1.616	1	2	162	7	1	2	277	0
1.617	1	2	162	8	1	2	277	0
1.618	1	2	162	9	1	2	277	0
1.619	1	2	162	10	1	2	277	0
1.62	1	2	163	1	1	2	277	0
1.621	1	2	163	2	1	2	277	0
1.622	1	2	163	3	1	2	277	0
1.623	1	2	163	4	1	2	277	0
1.624	1	2	163	5	1	2	277	0
1.625	1	2	163	6	1	2	277	0
1.626	1	2	163	7	1	2	277	0
1.627	1	2	163	8	1	2	277	0
1.628	1	2	163	9	1	2	277	0
1.629	1	2	163	10	1	2	277	0
1.63	1	2	164	1	1	2	277	0
1.631	1	2	164	2	1	2	277	0
1.632	1	2	164	3	1	2	277	0
1.633	1	2	164	4	1	2	277	0
1.634	1	2	164	5	1	2	277	0
1.635	1	2	164	6	1	2	277	0
1.636	1	2	164	7	1	2	277	0
1.637	1	2	164	8	1	2	277	0
1.638	1	2	164	9	1	2	277	0
1.639	1	2	164	10	1	2	277	0
1.64	1	2	165	1	1	2	277	0
1.642	1	1	165	3	2	6	645	0
1.643	1	1	165	4	2	6	645	0
1.646	1	1	165	7	2	6	645	0
1.647	1	1	165	8	2	6	645	0
1.648	1	1	165	9	2	6	645	0
1.666	1	1	167	7	2	6	645	0
1.671	1	1	168	2	2	6	645	0
