% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	10.2231	0
0.042	1	1	2	11.287	0
0.081	1	2	1	5.94574	0
0.082	1	1	2	12.2237	0
0.121	1	2	1	18.1392	0
0.122	1	1	2	14.8829	0
0.161	1	2	1	9.60695	0
0.162	1	1	2	12.3085	0
0.201	1	2	1	18.978	0
0.202	1	1	2	8.31013	0
0.241	1	2	1	23.8164	0
0.242	1	1	2	15.1004	0
0.281	1	2	1	18.7162	0
0.282	1	1	2	25.521	0
0.321	1	2	1	13.4261	0
0.322	1	1	2	10.2519	0
0.361	1	2	1	19.0035	0
0.362	1	1	2	19.6513	0
0.401	1	2	1	10.7905	0
0.402	1	1	2	31.1125	0
0.441	1	2	1	7.45771	0
0.442	1	1	2	13.345	0
0.481	1	2	1	15.9593	0
0.482	1	1	2	6.24135	0
0.521	1	2	1	28.7427	0
0.522	1	1	2	10.0487	0
0.561	1	2	1	11.8161	0
0.562	1	1	2	10.2913	0
0.601	1	2	1	5.80521	0
0.602	1	1	2	13.8265	0
0.641	1	2	1	17.1618	0
0.642	1	1	2	26.2327	0
0.681	1	2	1	18.7056	0
0.682	1	1	2	7.35989	0
0.721	1	2	1	26.3951	0
0.722	1	1	2	11.616	0
0.761	1	2	1	6.91359	0
0.762	1	1	2	13.8242	0
0.801	1	2	1	14.7347	0
0.802	1	1	2	13.7203	0
0.841	1	2	1	17.3381	0
0.842	1	1	2	7.5161	0
0.881	1	2	1	39.0055	0
0.882	1	1	2	9.3652	0
0.921	1	2	1	17.912	0
0.922	1	1	2	8.74099	0
0.961	1	2	1	9.06485	0
0.962	1	1	2	8.27065	0
1.001	1	2	1	9.7136	0
1.002	1	1	2	10.9533	0
1.041	1	2	1	6.5342	0
1.042	1	1	2	9.75388	0
1.081	1	2	1	27.2394	0
1.082	1	1	2	12.7598	0
1.121	1	2	1	11.459	0
1.122	1	1	2	10.7545	0
1.161	1	2	1	9.87401	0
1.162	1	1	2	17.6625	0
1.201	1	2	1	9.96699	0
1.202	1	1	2	30.2166	0
1.241	1	2	1	12.642	0
1.242	1	1	2	10.0174	0
1.281	1	2	1	9.53675	0
1.282	1	1	2	21.7349	0
1.321	1	2	1	25.3547	0
1.322	1	1	2	17.3691	0
1.361	1	2	1	38.6665	0
1.362	1	1	2	23.5022	0
1.401	1	2	1	12.9809	0
1.402	1	1	2	8.68449	0
1.441	1	2	1	15.2508	0
1.442	1	1	2	5.56932	0
1.481	1	2	1	21.0485	0
1.482	1	1	2	9.86653	0
1.521	1	2	1	7.86339	0
1.522	1	1	2	11.252	0
1.561	1	2	1	8.9388	0
1.562	1	1	2	14.4999	0
1.601	1	2	1	10.5688	0
1.602	1	1	2	8.60569	0
1.641	1	2	1	16.3046	0
1.642	1	1	2	16.8349	0
1.681	1	2	1	14.6511	0
1.682	1	1	2	26.7519	0
1.721	1	2	1	11.3189	0
1.722	1	1	2	12.6821	0
1.761	1	2	1	12.4734	0
1.762	1	1	2	20.226	0
1.801	1	2	1	10.9228	0
1.802	1	1	2	25.0294	0
1.841	1	2	1	15.243	0
1.842	1	1	2	10.4958	0
1.881	1	2	1	9.62138	0
1.882	1	1	2	6.05073	0
1.921	1	2	1	12.5801	0
1.922	1	1	2	18.3097	0
