% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.018	1	1	102	9	2	26	7708	26	7708	0
1.033	1	1	104	4	2	28	9422	28	9422	0
1.067	1	1	107	8	2	28	9422	28	9422	0
1.068	1	2	107	9	1	26	7708	26	7708	0
1.082	1	1	109	3	2	28	9422	28	9422	0
1.083	1	2	109	4	1	28	9422	28	9422	0
1.116	1	1	112	7	2	28	9422	28	9422	0
1.117	1	2	112	8	1	26	7708	26	7708	0
1.127	1	2	113	8	1	26	7708	26	7708	0
1.131	1	1	114	2	2	28	9422	28	9422	0
1.132	1	2	114	3	1	28	9422	28	9422	0
1.137	1	2	114	8	1	28	9422	28	9422	0
1.157	1	2	116	8	1	28	9422	28	9422	0
1.162	1	2	117	3	1	28	9422	28	9422	0
1.165	1	1	117	6	2	28	9422	28	9422	0
1.166	1	2	117	7	1	26	7708	26	7708	0
1.167	1	2	117	8	1	26	7708	26	7708	0
1.18	1	1	119	1	2	26	7708	26	7708	0
1.181	1	2	119	2	1	28	9422	28	9422	0
1.191	1	2	120	2	1	28	9422	28	9422	0
1.192	1	2	120	3	1	28	9422	28	9422	0
1.196	1	2	120	7	1	28	9422	28	9422	0
1.214	1	1	122	5	2	28	9422	28	9422	0
1.215	1	2	122	6	1	28	4395	28	4395	0
1.215	1	1	122	6	2	28	4395	28	4395	0
1.216	1	1	122	7	2	26	3662	26	3662	0
1.216	1	2	122	7	1	28	4395	28	4395	0
1.217	1	2	122	8	1	28	4395	28	4395	0
1.217	1	1	122	8	2	26	3662	26	3662	0
1.218	1	1	122	9	2	28	4395	28	4395	0
1.218	1	2	122	9	1	28	4395	28	4395	0
1.219	1	2	122	10	1	28	4395	28	4395	0
1.219	1	1	122	10	2	28	4395	28	4395	0
1.22	1	1	123	1	2	28	4395	28	4395	0
1.22	1	2	123	1	1	26	3662	26	3662	0
1.221	1	2	123	2	1	26	3662	26	3662	0
1.221	1	1	123	2	2	28	4395	28	4395	0
1.222	1	1	123	3	2	28	4395	28	4395	0
1.222	1	2	123	3	1	26	3662	26	3662	0
1.223	1	2	123	4	1	26	3662	26	3662	0
1.223	1	1	123	4	2	28	4395	28	4395	0
1.224	1	2	123	5	1	26	7708	26	7708	0
1.225	1	2	123	6	1	26	7708	26	7708	0
1.228	1	1	123	9	2	28	4395	28	4395	0
1.228	1	2	123	9	1	28	4395	28	4395	0
1.229	1	1	123	10	2	28	9422	28	9422	0
1.23	1	2	124	1	1	28	9422	28	9422	0
1.231	1	2	124	2	1	28	9422	28	9422	0
1.232	1	2	124	3	1	28	9422	28	9422	0
1.233	1	2	124	4	1	28	9422	28	9422	0
1.234	1	2	124	5	1	28	9422	28	9422	0
1.235	1	2	124	6	1	28	9422	28	9422	0
1.236	1	2	124	7	1	28	9422	28	9422	0
1.243	1	2	125	4	1	28	9422	28	9422	0
