% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	5.01069e-12	10563.5	0
0.000214285	1	2	0	3.3262e-11	70122.4	0
0.00121429	1	1	0	9.15079e-12	19291.6	0
0.00121429	1	2	0	8.20549e-11	172987	0
0.00221428	1	1	0	9.51739e-12	20064.4	0
0.00221428	1	2	0	8.14631e-11	171739	0
0.00321428	1	1	0	9.94749e-12	20971.1	0
0.00321428	1	2	0	8.05916e-11	169902	0
0.00421428	1	1	0	1.04413e-11	22012.2	0
0.00421428	1	2	0	7.94555e-11	167507	0
0.00521428	1	1	0	1.09919e-11	23172.9	0
0.00521428	1	2	0	7.80526e-11	164549	0
0.00621428	1	1	0	1.15948e-11	24444.1	0
0.00621428	1	2	0	7.63882e-11	161040	0
0.00721428	1	1	0	1.22524e-11	25830.4	0
0.00721428	1	2	0	7.44512e-11	156957	0
0.00821428	1	1	0	1.29629e-11	27328.2	0
0.00821428	1	2	0	7.22716e-11	152362	0
0.00921428	1	1	0	1.37229e-11	28930.5	0
0.00921428	1	2	0	6.98879e-11	147337	0
0.0102143	1	1	0	1.45275e-11	30626.6	0
0.0102143	1	2	0	6.73235e-11	141930	0
0.0112143	1	1	0	1.53644e-11	32391.1	0
0.0112143	1	2	0	6.46033e-11	136196	0
0.0122143	1	1	0	1.62363e-11	34229.1	0
0.0122143	1	2	0	6.17512e-11	130183	0
0.0132143	1	1	0	1.71391e-11	36132.4	0
0.0132143	1	2	0	5.87872e-11	123934	0
0.0142143	1	1	0	1.80671e-11	38088.7	0
0.0142143	1	2	0	5.57673e-11	117568	0
0.0152143	1	1	0	1.90131e-11	40083.2	0
0.0152143	1	2	0	5.27269e-11	111158	0
0.0162143	1	1	0	1.99598e-11	42078.9	0
0.0162143	1	2	0	4.97029e-11	104783	0
0.0172143	1	1	0	2.09134e-11	44089.3	0
0.0172143	1	2	0	4.67289e-11	98513.2	0
0.0182143	1	1	0	2.18724e-11	46111.2	0
0.0182143	1	2	0	4.38249e-11	92391	0
0.0192143	1	1	0	2.28317e-11	48133.5	0
0.0192143	1	2	0	4.10562e-11	86554	0
0.0202143	1	1	0	2.37839e-11	50140.9	0
0.0202143	1	2	0	3.84632e-11	81087.5	0
0.0212143	1	1	2	2.471e-11	52093.2	0
0.0212143	1	2	1	3.60819e-11	76067.2	0
0.0222143	1	1	2	2.56155e-11	54002.2	0
0.0222143	1	2	1	3.39469e-11	71566.4	0
0.0232143	1	1	2	2.6501e-11	55869.1	0
0.0232143	1	2	1	3.20714e-11	67612.5	0
0.0242143	1	1	2	2.73643e-11	57689	0
0.0242143	1	2	1	3.05037e-11	64307.4	0
0.0252143	1	1	2	2.82038e-11	59458.9	0
0.0252143	1	2	1	2.92709e-11	61708.4	0
0.0262143	1	1	2	2.90079e-11	61154.1	0
0.0262143	1	2	1	2.83945e-11	59860.8	0
0.0272143	1	1	2	2.97817e-11	62785.4	0
0.0272143	1	2	1	2.78963e-11	58810.6	0
0.0282143	1	1	2	3.05303e-11	64363.4	0
0.0282143	1	2	1	2.77827e-11	58571.1	0
0.0292143	1	1	2	3.12571e-11	65895.8	0
0.0292143	1	2	1	2.80715e-11	59180	0
0.0302143	1	1	2	3.19649e-11	67388	0
0.0302143	1	2	1	2.87692e-11	60650.9	0
0.0312143	1	1	2	3.26494e-11	68830.9	0
0.0312143	1	2	1	2.98768e-11	62985.8	0
0.0322143	1	1	2	3.331e-11	70223.7	0
0.0322143	1	2	1	3.13894e-11	66174.6	0
0.0332143	1	1	2	3.39601e-11	71594.2	0
0.0332143	1	2	1	3.32925e-11	70186.8	0
0.0342143	1	1	2	3.46088e-11	72961.7	0
0.0342143	1	2	1	3.55732e-11	74994.8	0
0.0352143	1	1	2	3.52642e-11	74343.4	0
0.0352143	1	2	1	3.82165e-11	80567.4	0
0.0362143	1	1	2	3.59282e-11	75743.3	0
0.0362143	1	2	1	4.12011e-11	86859.6	0
0.0372143	1	1	2	3.6598e-11	77155.3	0
0.0372143	1	2	1	4.44999e-11	93814	0
0.0382143	1	1	2	3.72885e-11	78611.1	0
0.0382143	1	2	1	4.80716e-11	101344	0
0.0392143	1	1	2	3.80113e-11	80134.9	0
0.0392143	1	2	1	5.18826e-11	109378	0
0.0402143	1	1	2	3.87737e-11	81742.1	0
0.0402143	1	2	1	5.59021e-11	117852	0
0.0412143	1	1	2	3.95828e-11	83447.9	0
0.0412143	1	2	1	6.009e-11	126681	0
0.0422143	1	1	2	4.0434e-11	85242.4	0
0.0422143	1	2	1	6.44037e-11	135775	0
0.0432143	1	1	2	4.1339e-11	87150.2	0
0.0432143	1	2	1	6.87815e-11	145004	0
0.0442143	1	1	2	4.2314e-11	89205.8	0
0.0442143	1	2	1	7.31749e-11	154266	0
0.0452143	1	1	2	4.33617e-11	91414.5	0
0.0452143	1	2	1	7.75551e-11	163500	0
0.0462143	1	1	2	4.44869e-11	93786.7	0
0.0462143	1	2	1	8.18782e-11	172614	0
0.0472143	1	1	2	4.56826e-11	96307.4	0
0.0472143	1	2	1	8.60939e-11	181502	0
0.0482143	1	1	2	4.69494e-11	98978	0
0.0482143	1	2	1	9.01343e-11	190020	0
0.0492143	1	1	2	4.82988e-11	101823	0
0.0492143	1	2	1	9.39455e-11	198054	0
0.0502143	1	1	2	4.97331e-11	104846	0
0.0502143	1	2	1	9.7511e-11	205571	0
0.0512143	1	1	2	5.12519e-11	108048	0
0.0512143	1	2	1	1.00801e-10	212507	0
0.0522143	1	1	2	5.28456e-11	111408	0
0.0522143	1	2	1	1.03779e-10	218786	0
0.0532143	1	1	2	5.45061e-11	114909	0
0.0532143	1	2	1	1.06395e-10	224300	0
0.0542143	1	1	2	5.62388e-11	118562	0
0.0542143	1	2	1	1.08612e-10	228975	0
0.0552143	1	1	2	5.80422e-11	122364	0
0.0552143	1	2	1	1.10421e-10	232789	0
0.0562143	1	1	2	5.99094e-11	126300	0
0.0562143	1	2	1	1.11817e-10	235731	0
0.0572143	1	1	2	6.18265e-11	130342	0
0.0572143	1	2	1	1.12787e-10	237775	0
0.0582143	1	1	2	6.37735e-11	134446	0
0.0582143	1	2	1	1.13312e-10	238884	0
0.0592143	1	1	2	6.57483e-11	138610	0
0.0592143	1	2	1	1.13368e-10	239000	0
0.0602143	1	1	2	6.77506e-11	142831	0
0.0602143	1	2	1	1.12972e-10	238166	0
0.0612143	1	1	2	6.97673e-11	147082	0
0.0612143	1	2	1	1.12155e-10	236444	0
0.0622143	1	1	2	7.17786e-11	151323	0
0.0622143	1	2	1	1.10939e-10	233880	0
0.0632143	1	1	2	7.37528e-11	155485	0
0.0632143	1	2	1	1.09335e-10	230498	0
0.0642143	1	1	2	7.56784e-11	159544	0
0.0642143	1	2	1	1.07333e-10	226277	0
0.0652143	1	1	2	7.75543e-11	163499	0
0.0652143	1	2	1	1.04958e-10	221271	0
0.0662143	1	1	2	7.93651e-11	167316	0
0.0662143	1	2	1	1.02274e-10	215613	0
0.0672143	1	1	2	8.10958e-11	170965	0
0.0672143	1	2	1	9.93147e-11	209374	0
