% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	777.809	0
0.042	1	1	2	858.753	0
0.081	1	2	1	452.372	0
0.082	1	1	2	930.021	0
0.121	1	2	1	1380.09	0
0.122	1	1	2	1132.34	0
0.161	1	2	1	730.93	0
0.162	1	1	2	936.471	0
0.201	1	2	1	1443.91	0
0.202	1	1	2	632.263	0
0.241	1	2	1	1812.03	0
0.242	1	1	2	1148.89	0
0.281	1	2	1	1423.99	0
0.282	1	1	2	1941.72	0
0.321	1	2	1	1021.5	0
0.322	1	1	2	780.003	0
0.361	1	2	1	1445.85	0
0.362	1	1	2	1495.14	0
0.401	1	2	1	820.978	0
0.402	1	1	2	2367.15	0
0.441	1	2	1	567.408	0
0.442	1	1	2	1015.33	0
0.481	1	2	1	1214.24	0
0.482	1	1	2	474.863	0
0.521	1	2	1	2186.85	0
0.522	1	1	2	764.538	0
0.561	1	2	1	899.007	0
0.562	1	1	2	782.998	0
0.601	1	2	1	441.68	0
0.602	1	1	2	1051.97	0
0.641	1	2	1	1305.73	0
0.642	1	1	2	1995.87	0
0.681	1	2	1	1423.19	0
0.682	1	1	2	559.966	0
0.721	1	2	1	2008.23	0
0.722	1	1	2	883.787	0
0.761	1	2	1	526.01	0
0.762	1	1	2	1051.8	0
0.801	1	2	1	1121.07	0
0.802	1	1	2	1043.88	0
0.841	1	2	1	1319.14	0
0.842	1	1	2	571.851	0
0.881	1	2	1	2967.68	0
0.882	1	1	2	712.537	0
0.921	1	2	1	1362.8	0
0.922	1	1	2	665.044	0
0.961	1	2	1	689.685	0
0.962	1	1	2	629.26	0
1.001	1	2	1	739.044	0
1.002	1	1	2	833.367	0
1.041	1	2	1	497.144	0
1.042	1	1	2	742.108	0
1.081	1	2	1	2072.47	0
1.082	1	1	2	970.812	0
1.121	1	2	1	871.836	0
1.122	1	1	2	818.242	0
1.161	1	2	1	751.248	0
1.162	1	1	2	1343.82	0
1.201	1	2	1	758.323	0
1.202	1	1	2	2298.98	0
1.241	1	2	1	961.848	0
1.242	1	1	2	762.156	0
1.281	1	2	1	725.588	0
1.282	1	1	2	1653.66	0
1.321	1	2	1	1929.07	0
1.322	1	1	2	1321.5	0
1.361	1	2	1	2941.88	0
1.362	1	1	2	1788.13	0
