% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1032	1	1	2	0	2	573	0	1	1	0
1081	1	1	2	0	18	4587	0	1	1	0
1082	1	2	1	0	0	349	0	1	1	0
1130	1	1	2	0	22	5861	0	1	1	0
1131	1	2	1	0	14	3182	0	1	1	0
1141	1	2	1	0	14	3182	0	1	1	0
1161	1	2	1	0	14	3182	0	1	1	0
1179	1	1	2	0	14	3182	0	1	1	0
1180	1	2	1	0	22	5861	0	1	1	0
1191	1	2	1	0	22	5861	0	1	1	0
1205	1	2	1	0	22	5861	0	1	1	0
1220	1	2	1	0	2	573	0	1	1	0
1228	1	1	2	0	16	3822	0	1	1	0
1229	1	2	1	0	2	277	0	1	1	0
1229	1	1	2	0	16	1908	0	1	0	0
1230	1	2	1	0	2	573	0	1	1	0
1231	1	2	1	0	2	573	0	1	1	0
1232	1	2	1	0	2	573	0	1	1	0
1233	1	2	1	0	2	573	0	1	1	0
1234	1	2	1	0	2	573	0	1	1	0
1235	1	2	1	0	2	573	0	1	1	0
1236	1	2	1	0	2	573	0	1	1	0
1239	1	2	1	0	2	573	0	1	1	0
1242	1	2	1	0	2	573	0	1	1	0
1243	1	2	1	0	2	573	0	1	1	0
1249	1	2	1	0	6	1287	0	1	1	0
1264	1	2	1	0	6	1287	0	1	1	0
1271	1	2	1	0	6	1287	0	1	1	0
1277	1	1	2	0	12	2481	0	1	1	0
1279	1	2	1	0	6	1287	0	1	1	0
1280	1	2	1	0	6	1287	0	1	1	0
1281	1	2	1	0	6	1287	0	1	1	0
1282	1	2	1	0	6	1287	0	1	1	0
1283	1	2	1	0	6	1287	0	1	1	0
1284	1	2	1	0	6	1287	0	1	1	0
1291	1	2	1	0	20	5477	0	1	1	0
1301	1	2	1	0	20	5477	0	1	1	0
1302	1	2	1	0	20	5477	0	1	1	0
1311	1	2	1	0	20	5477	0	1	1	0
1313	1	2	1	0	20	5477	0	1	1	0
1326	1	1	2	0	26	7708	0	1	1	0
1367	1	2	1	0	20	5477	0	1	1	0
1368	1	2	1	0	20	5477	0	1	1	0
1369	1	2	1	0	20	5477	0	1	1	0
1375	1	1	2	0	4	903	0	1	1	0
1387	1	2	1	0	20	5477	0	1	1	0
1392	1	2	1	0	20	5477	0	1	1	0
1393	1	2	1	0	20	5477	0	1	1	0
1411	1	2	1	0	12	2481	0	1	1	0
1412	1	2	1	0	12	2481	0	1	1	0
1416	1	2	1	0	12	2481	0	1	1	0
1417	1	2	1	0	12	2481	0	1	1	0
1418	1	2	1	0	12	2481	0	1	1	0
1419	1	2	1	0	12	2481	0	1	1	0
1420	1	2	1	0	12	2481	0	1	1	0
1421	1	2	1	0	12	2481	0	1	1	0
1422	1	2	1	0	12	2481	0	1	1	0
1424	1	2	1	0	20	2673	0	1	0	0
1424	1	1	2	0	24	3422	0	1	1	0
1443	1	2	1	0	12	2481	0	1	1	0
1461	1	2	1	0	20	5477	0	1	1	0
1462	1	2	1	0	20	5477	0	1	1	0
1464	1	2	1	0	20	5477	0	1	1	0
1473	1	1	2	0	2	573	0	1	1	0
1474	1	1	2	0	2	573	0	1	1	0
1481	1	2	1	0	28	4587	0	1	1	0
1481	1	1	2	0	2	277	0	1	0	0
1511	1	2	1	0	28	4587	0	1	1	0
1511	1	1	2	0	2	277	0	1	1	0
1516	1	2	1	0	14	3182	0	1	1	0
1523	1	2	1	0	14	1620	0	1	1	0
1528	1	1	2	0	18	4587	0	1	1	0
1540	1	2	1	0	24	6882	0	1	1	0
1550	1	2	1	0	24	6882	0	1	1	0
1560	1	2	1	0	24	3422	0	1	1	0
1560	1	1	2	0	18	2292	0	1	1	0
1561	1	2	1	0	24	3422	0	1	1	0
1561	1	1	2	0	18	2292	0	1	0	0
1562	1	2	1	0	24	6882	0	1	1	0
1563	1	2	1	0	24	6882	0	1	1	0
1573	1	2	1	0	4	903	0	1	1	0
1577	1	1	2	0	18	4587	0	1	1	0
1578	1	1	2	0	18	4587	0	1	1	0
1590	1	2	1	0	4	903	0	1	1	0
1600	1	2	1	0	4	903	0	1	1	0
1605	1	1	2	0	18	4587	0	1	1	0
1609	1	2	1	0	24	3422	0	1	1	0
1609	1	1	2	0	22	2865	0	1	0	0
1615	1	2	1	0	22	5861	0	1	1	0
1626	1	1	2	0	6	1287	0	1	1	0
1627	1	1	2	0	6	1287	0	1	1	0
1628	1	1	2	0	6	1287	0	1	1	0
1629	1	1	2	0	6	1287	0	1	1	0
1630	1	1	2	0	6	1287	0	1	1	0
1631	1	1	2	0	6	1287	0	1	1	0
1632	1	2	1	0	24	3422	0	1	1	0
1632	1	1	2	0	22	2865	0	1	1	0
1633	1	1	2	0	6	1287	0	1	1	0
1634	1	1	2	0	6	1287	0	1	1	0
1636	1	1	2	0	6	1287	0	1	1	0
1643	1	2	1	0	24	3422	0	1	1	0
1643	1	1	2	0	22	2865	0	1	0	0
1647	1	2	1	0	18	4587	0	1	1	0
1654	1	1	2	0	28	9422	0	1	1	0
1658	1	2	1	0	18	4587	0	1	1	0
1659	1	2	1	0	18	4587	0	1	1	0
1661	1	2	1	0	18	4587	0	1	1	0
1675	1	1	2	0	28	9422	0	1	1	0
1676	1	1	2	0	28	9422	0	1	1	0
1678	1	2	1	0	26	3822	0	1	1	0
1678	1	1	2	0	28	4587	0	1	0	0
1696	1	2	1	0	12	2481	0	1	1	0
